CRANBROOK-TOWN,,,,,,,,,,
Grid ref,TQ774356,Long,0.53190975,Lat,51.092272,Elevation,290,ft,,
Station no,RR8314,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,1.27,2.75,4.83,1.35,4.74,1.37,1.86,1.03
February,,,1.73,1.88,3.43,0.95,2.8,1.88,1.26,0.66
March,,,1.73,3.2,1.81,4.09,2.06,0.99,2.73,4.6
April,,,0.86,2.27,1.05,2.72,1.29,3.55,2.73,1.83
May,,,2.51,2.96,2.45,1.54,2.7,3.01,1.47,1.28
June,,,2.4,4.66,1.2,5.19,1.82,1.69,1.66,2.61
July,,,2.07,4.84,1.13,1.04,1.27,1.33,3.24,3.26
August,,,4.33,3.33,1.04,3.2,0.89,2.03,4.68,2.55
September,,,0.75,2.89,1.53,2.97,1.69,0.76,1.64,4.19
October,,,2.46,6.06,2.43,2.48,5.21,5.45,1.92,7.87
November,,,2.76,2.34,1.86,5.18,6.38,2.69,1.15,1.06
December,,,2.52,1.9,3.93,0.89,2.18,3.08,3.86,5.6
Total,,,25.39,39.08,26.69,31.6,33.03,27.83,28.2,36.54
