EXETER-THE-CLOSE-(NO-15),,,,,,,,,,,,,,,,,,,,,
Grid ref,SX922925,Long,-3.5284,Lat,50.7229,Elevation,150,ft,,,,,,,,,,,,,
Station no,1772,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.53,1.88,4.41,4.38,4.5,4.95,4.66,1.92,5.95,2.99,3.33,,,,,,,,
February,,,2.83,8.1,1.68,4.44,2.89,4.17,3.32,2.34,1.72,2.46,0.06,,,,,,,,
March,,,2.8,1.33,1.48,0.69,0.73,4.06,3.76,0.13,2.82,2.13,2.12,,,,,,,,
April,,,3.32,2.87,2.92,3.85,2,1.53,1.58,0.96,3.52,3.55,2.49,,,,,,,,
May,,,0.64,1.33,4.06,4.52,0.93,0.56,1.72,2.28,1.58,3.81,3.31,,,,,,,,
June,,,0.6,0.47,3.1,0.02,3.65,1.78,1.91,2.47,0.43,2.91,2.52,,,,,,,,
July,,,2.79,1.09,4.41,3.49,0.72,2.99,1.45,1.18,1.33,3.09,3.76,,,,,,,,
August,,,3.59,2.05,2.56,1.47,1.21,3.23,2.11,1.83,3.3,3.85,1.81,,,,,,,,
September,,,2.75,2.99,4.49,3.58,1.32,4.95,1.19,0.34,4.86,1.02,4.01,,,,,,,,
October,,,1.24,5.29,4.81,3.27,2.56,1.51,5.09,5.83,3.82,0.57,6.73,,,,,,,,
November,,,1.79,2.6,3.85,3.21,8.6,3.31,3.21,10.32,6.23,7.45,2.75,,,,,,,,
December,,,6.3,3.07,4.15,3.85,0.61,3.63,3.23,8.28,4.32,1.87,2.34,,,,,,,,
Total,,,33.18,33.07,41.92,36.77,29.72,36.67,33.23,37.88,39.88,35.7,35.23,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
This observer was an Archdeacon connected with the Cathedral School,,,,,,,,,,,,,,,,,,,,,
"Cannot find no 15, but assume part of school grounds and buildings",,,,,,,,,,,,,,,,,,,,,
