CHERTSEY-BURLEY-ORCHARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ041673,Long,-0.50421,Lat,51.39567,Elevation,47,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,3.37,0.26,1.4,-999,1.61,-999,3.75,,1,0.95,0.75,,1.91,,1,3.15,1.53,0.7,1.45,0.92,
February,,,,,,,,,,2.83,2.08,2.75,-999,4.08,-999,-999,,1.3,0.9,2.75,,0.1,1.3,3.1,1.67,0.12,0.22,3.96,1.3,
March,,,,,,,,,,0.69,0.54,2.65,-999,0.64,-999,-999,,1,2.8,2.1,,1.5,0.73,0.35,1.1,1.8,2.31,4.25,1.11,
April,,,,,,,,,,2.47,1.98,0.47,-999,1.43,-999,-999,,1.75,1.6,2.2,,2,0.68,0,1.66,1.2,0.31,3.75,0.9,
May,,,,,,,,,,4.31,0,0.69,1.64,2.15,-999,1.95,,-999,0.75,3.25,,1,1.17,0.3,1.6,0.42,0.16,1.62,2.05,
June,,,,,,,,,,4.29,2.07,2.2,-999,0.5,-999,2.15,,-999,3.5,1.35,,1.49,0.65,1.3,1.96,0.16,2.32,3.8,2.07,
July,,,,,,,,,,3.12,4.2,2.37,-999,3.3,1.55,-999,,-999,4.75,1.75,,2,3.03,1.6,3.75,4.37,1.1,0.83,0.4,
August,,,,,,,,,3.98,5.25,0.61,4.3,-999,,1.25,-999,,-999,3.6,2.25,,2.6,3.83,1.42,2.68,2.32,1.9,2.7,1.02,
September,,,,,,,,,0.92,1.91,5.12,2.23,-999,2.75,-999,-999,,-999,0.75,0.75,,2.75,1.45,1,1.27,1.6,6.21,1.85,0.62,
October,,,,,,,,,1.98,1.58,5.53,2.65,-999,,-999,3.15,,-999,1.4,3.1,,3.35,3.1,3.27,4.3,3.15,3.15,1.12,3.52,
November,,,,,,,,,2.52,0.63,1.2,2.22,-999,3.45,-999,4,,2.25,2.45,0.9,,3.5,2.3,1.88,3.22,3.63,1.13,0.8,2.45,
December,,,,,,,,,1.15,0.81,3.1,2.75,-999,2.15,3.85,2,,1.75,1.3,2,,3.75,0.8,2.5,1.9,2.35,1.3,2.62,2.37,
Total,,,,,,,,,,31.26,26.69,26.68,24.64,,17.7,25.05,24.55,17.47,24.75,23.15,18.75,25.95,,17.72,28.26,22.65,20.81,28.75,18.73,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880 May Probably correct. At Weybridge only .01in fell except .23in on 31st.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entered to wrong day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882 Bracketed values ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/Feb 2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar/Apr 3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June-Aug 6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sept/Oct 6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov/Dec 4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883 Believed to have been read at irregular intervals ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883 Total given as 22.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884 Bracketed values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/Feb 3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar/Apr 2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May/June 2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sept-Nov 3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885 Bracketed values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-Apr 3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July-Sept 4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886 Read at irregular intervals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 Too small Not printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 Bracketed values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May/June 2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July/Aug 2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sept/Oct 3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 Unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892 Unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
