"OTTER FERRY, BALLIMORE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR 92361 83333,Long,-5.331263,Lat,55.997864,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,5.06,4.9,7.7,9,,,,,,,,4,7.65,6.83,5.25,,6.9,8,11.15,2.47,7.16,6.74,9.36,5.17,3.78,3.5,,,,,
February,8.55,8.18,5.5,4.1,,,,,,,,1.75,5.76,8.1,1.53,6,7,4.33,4.71,0,0.3,5.85,0.06,6.26,0.93,6.18,,,,,
March,2.6,1.86,4.2,6.25,,,,,,,,4.6,1.85,3,0.59,3.25,4.75,6.07,5.81,2.09,2.32,1.05,4.67,2.4,2.8,1.93,,,,,
April,4.4,4.5,1.25,5,,,,,,,,2.65,2.2,3.7,3.5,6.75,1.41,4.31,2.7,1.61,1.85,2.77,4.06,3.85,3.7,2.31,,,,,
May,3.05,3.11,2,4.75,,,,,,,,2.1,3.65,2.5,4.1,7.25,3.23,3.4,1.2,4.75,2.28,3.92,2.15,4.19,4.5,0.97,,,,,
June,2,2.2,3.5,0.75,,,,,,,,0.65,3.85,3.75,3.6,1.45,2.7,3.7,4.65,2.67,2.82,5.06,1.9,3.35,2.5,4.09,,,,,
July,4.99,3.5,3,1,,,,,,,,4,3.62,4.5,5.63,2.72,3.5,3.65,2.7,3.55,1.9,3.82,4.99,4.58,3.02,2.35,,,,,
August,6.1,5.52,3.8,0.65,,,,,,,,6.5,5.2,5.6,6,5,5.17,4.83,5.65,5.94,6.66,1.6,4.56,5.23,5.95,2.5,,,,,
September,3.15,2.95,4.02,3.62,,,,,,,,3.75,4.25,9.55,6.3,,5.62,6.6,4.18,3.9,3.45,2.8,4.3,1.09,8.95,6.99,,,,,
October,2.4,3,6.5,3.75,,,,,,,,5.5,2.55,8.9,5,7.75,7.25,5.53,8.15,6.5,7,4.35,7.98,4.76,9.93,14.3,,,,,
November,4.58,8.5,6.5,8.65,,,,,,,,4.1,6.25,6.5,3.85,2.23,7.9,6.2,9.33,8.75,6.53,10.61,4.55,3.9,1.63,7.27,,,,,
December,6.95,11.23,11,5.58,,,,,,,,9.56,6.35,7.25,8.3,3.8,3.53,1.62,6.9,15.02,8.03,5.51,6.95,2.65,10.66,5.19,,,,,
Total,53.83,59.45,58.97,53.1,,,,,,,,49.16,53.18,70.18,53.65,,58.96,58.24,67.13,57.25,50.3,54.08,55.53,47.43,58.35,57.58,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Jan +S +T deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
