KILFINAN BALLIMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR 92310 83490,Long,-5.332197,Lat,55.999247,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,0.7,9.3,2.85,8.5,3.4,1.6,4.4,8,1.5,6.4,7.3,4.6,6.4,6.3,3.5,4,,,2.9,12.6,13.1,9.5,0.9,3.2,,,
February,,,,6.4,3.5,7.2,3.1,6.4,1.1,5.1,4.1,3,7,1.55,5.9,,4,2.5,6,5.5,7.3,4.9,7.6,2.2,5.8,0.8,2.7,,,
March,,,,1.2,4.3,4.65,6.9,1.3,4.1,5.5,0.6,4.6,6.5,2.6,5.4,,5.5,2,,2,2.3,6,1,1.3,3.4,,,,,
April,,,,2.4,0.4,1.9,3.8,1.8,2.05,2.2,0.6,,1.1,6.6,2.5,,2,3.5,2.5,2.7,4.3,1.3,1.2,2.9,1.4,3.5,,,,
May,,,,3,2.8,7,0.2,2.4,1.1,2.4,3.1,3.4,2.6,2.65,0.1,1.5,2,3.3,1,3.1,2.1,1.8,,1,4,2.1,,,,
June,,,,5,3.8,1.6,4,2.8,5.5,2.8,6.1,2.6,3.3,2.2,4,4.5,6,2.2,3,2,2.8,4.8,3.5,2.4,3.4,,,,,
July,,,,2.3,2.8,4.5,6.3,3.1,5.6,4.9,3.6,2.7,3.3,5.85,4.3,2,8.5,2,5,4.3,3.5,4.9,6.2,6,4.3,,,,,
August,,,,3.05,4.45,6.1,3.6,3.3,5.9,5,4.7,5.4,4.2,4.35,2.3,1.6,4,3,3,2.9,6.1,5.6,4.4,3,4.6,4,,,,
September,,,,7.05,3.6,6.5,7.5,3,4.5,8.5,9.3,4.4,3.1,3,1.4,6,3,5,2,,3.1,1.3,,5.2,4,2.7,,,,
October,,,,6,6.5,5,5.1,7,7,6.7,3,6,,9.4,,10.1,4,7,5,3.9,5,7.3,3,8.5,7.8,7.8,,,,
November,,,,8,7.3,7.25,6.5,7.3,5,4.3,5.2,4.6,3.1,6.3,3.9,9,7,7.75,7,6.5,6.7,1.25,8,8.4,6.3,1.9,,,,
December,,,,10.3,4,3.45,5.7,4.9,5.6,4.9,4.1,8.5,7.8,3.7,,8.3,1,9,5,3.8,,,17.9,0.7,12.2,3.3,,,,
Total,,,,55.4,52.75,58,61.2,46.7,49.05,56.7,52.4,,,55.5,,,53.3,50.75,,,,,,54.7,66.7,,,,,
