LOCH FYNE OTTER FERRY SCHOOL HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NR930843,Long,-5.321782,Lat,56.006815,Elevation,37,ft,,,,,,,,,,,,
Station no,5422,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,4.86,4.92,4.61,3.98,6.49,,4.23,5.42,6.13,2.68,,
February,,,,,,,,,3.6,2.75,8.37,6.32,3.77,,7.78,8.9,7.26,0.92,6.65,
March,,,,,,,,,5.13,1.04,2.24,1.41,5.03,,5.51,3.03,1.36,2.41,1.79,
April,,,,,,,,,1.77,4.17,3.95,3.68,2.48,,3.36,3.22,3.99,2.35,1.22,
May,,,,,,,,,2.35,3.28,2.67,3.06,2.65,,1.69,0.76,4.5,4.23,,
June,,,,,,,,,2.76,2.41,1.79,2.16,5.49,,1.79,2.49,1.98,2.3,,
July,,,,,,,,,5.06,4.53,4.6,4.6,2.13,,1.9,4.71,2.77,,,
August,,,,,,,,,4.34,3.04,6.68,4.21,3.59,,4.51,2.36,2.77,2.02,,
September,,,,,,,,,7.9,1.66,2.79,2.31,3.62,,3.08,0.78,1.69,3.75,,
October,,,,,,,,,1.6,6.56,2.49,3.44,5.45,,2.44,3.16,6.59,,,
November,,,,,,,,,4.04,2.81,4.5,5.45,5.19,,5.01,2.16,5.66,,,
December,,,,,,,,,5.53,5.19,6.03,10.42,9.99,,7.68,6.05,4.65,,,
Total,,,,,,,,,48.94,42.36,50.72,51.04,55.88,,48.98,43.04,49.35,,,
