KILFINNAN BALLIMORE,,,,,,,,,,
Grid ref,NR 92361 83333,Long,-5.331263,Lat,55.997864,Elevation,60,ft,,
Station no,RR1375,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,2.5,,,,,,,,
June,,2,,,,,,,,
July,,2.2,,,,,,,,
August,,4.5,,,,,,,,
September,,4,,,,,,,,
October,,4.9,,,,,,,,
November,,3.5,,,,,,,,
December,,5.4,,,,,,,,
Total,,,,,,,,,,
Calc annual,,,,,,,,,,
Difference,,,,,,,,,,
,,,,,,,,,,
Transcribed from,,,,,,,,,,
TYRain_1840-1849_E_pt3-page-125.jpg,,,,,,,,,,
stated to have been on the roof,,,,,,,,,,
