DUCHRAY VALLEY (GLEN DHU),,,,,,,,,,
Grid ref,NN400034,Long,-4.58035,Lat,56.19624,Elevation,500,ft,,
Station no,5365,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,14.1,11.1,3.55,7.1
February,,,,,,,5.6,3.6,4.05,7.95
March,,,,,,,9.1,2.6,6.75,4.1
April,,,,,,,3.6,3.6,6.65,10.5
May,,,,,,,4.2,5.6,1.95,5.1
June,,,,,,,3.1,3.1,4.05,4.15
July,,,,,,,7.1,6.6,7.65,7.65
August,,,,,,,6.1,8.6,3.55,5.4
September,,,,,,,6.6,6.1,2.4,4.85
October,,,,,,,9.1,9.6,8.75,6.25
November,,,,,,4,3.1,3.1,10.05,11.75
December,,,,,,12.6,11.6,9.75,15.95,9.45
Total,,,,,,,83.3,73.35,75.35,84.25
