"DUCHRAY VALLEY (GLEN DHU)",,,,,,,,,,,,
Grid ref,NN400034,Long,-4.580350,Lat,56.196240,,,,,,,
Station no,5365,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,14.10,11.10,3.55,7.10,,
February,,,,,,,5.60,3.60,4.05,7.95,,
March,,,,,,,9.10,2.60,6.75,4.10,,
April,,,,,,,3.60,3.60,6.65,10.50,,
May,,,,,,,4.20,5.60,1.95,5.10,,
June,,,,,,,3.10,3.10,4.05,4.15,,
July,,,,,,,7.10,6.60,7.65,7.65,,
August,,,,,,,6.10,8.60,3.55,5.40,,
September,,,,,,,6.60,6.10,2.40,4.85,,
October,,,,,,,9.10,9.60,8.75,6.25,,
November,,,,,,4.00,3.10,3.10,10.05,11.75,,
December,,,,,,12.60,11.60,9.75,15.95,9.45,,
Total,,,,,,,83.30,73.35,75.35,84.25,,
Calc annual,0.00,0.00,0.00,0.00,0.00,16.60,83.30,73.35,75.35,84.25,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
