STIRLING,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 793 938,Long,-3.943519,Lat,56.121585,Elevation,233,ft,,,,,,,,,,,,
Station no,RR2824,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,3.79,6.83,4.55,1.9,,,,,,,,
February,,,,,,,,,0.7,4.07,2.13,3.67,,,,,,,,
March,,,,,,,,,0.89,5.17,3.26,5.02,,,,,,,,
April,,,,,,,,,2.24,4.8,1.1,0.21,,,,,,,,
May,,,,,,,,,4.34,0.26,1.42,,,,,,,,,
June,,,,,,,,,2.39,1.83,4.56,,,,,,,,,
July,,,,,,,,,4.86,3.15,1.64,,,,,,,,,
August,,,,,,,,,3.17,2.23,4.6,,,,,,,,,
September,,,,,,,,,2.86,3.83,1.14,,,,,,,,,
October,,,,,,,,,6.22,2.61,5.14,,,,,,,,,
November,,,,,,,,,2.15,2.98,1.54,,,,,,,,,
December,,,,,,,,,4.35,2.12,3.49,,,,,,,,,
Total,,,,,,,,,37.96,39.88,34.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location Low Confidence,,,,,,,,,,,,,,,,,,,,
