SHIPSTON-ON-STOUR (TREDINGTON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP257437,Long,-1.626303,Lat,52.091055,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2441/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.27,1.24,3.85,1.21,2.26,1.84,1.7,0.56,2.71,3.33,2.63,5.22,2.64,,,,,,,1.56,4.23,0.83,0.21,2.02,1.53,0.9,0.94,2.12,2.75,1.33,2.08,3.66,4.08
February,,,,,,,,,1.64,0.61,0.46,2.37,0.26,2.91,0.36,2.24,1.69,3.73,0.95,1.37,2.42,2.07,0.49,,,,,1.2,0.79,1.02,4.01,2.54,0.54,1.18,2.25,1.19,0.32,2.35,2.8,0.04,1.5
March,,,,,,,,,2.55,0.01,1.66,0.07,1.76,2.06,1.79,0.43,1.69,2.64,0.19,1.22,1.8,,,,,,,5.16,0.87,1.46,0.96,3.29,1.93,1.24,2.12,1.81,0.56,1.74,0.92,2.2,1.02
April,,,,,,,,,0.99,0.96,2.09,3.48,2.41,0.89,1.79,3.54,1.83,2.95,0.13,2.58,2.76,0.88,0.58,,,,,1.86,2.01,1.61,1.68,2.55,0.53,1.54,0.5,0.82,0.89,0.26,0.66,1.94,0.47
May,,,,,,,,,0.72,1.59,2.8,3.47,7.77,1.38,0.69,1.76,0.61,2.63,1.91,0.86,2.07,1.94,2.57,,,,,1.48,3.18,2.13,2.4,2.75,3,1.04,1.54,3.49,0.86,1.16,2.55,1.25,1.52
June,,,,,,,,,2.08,1.28,1.95,2.02,0.81,1.87,0.91,2.95,2.61,1.43,1.01,1.78,0.59,,0.25,,,,,1.01,2.12,0.28,1.54,0.82,1.2,2.42,2.02,3.03,2.1,0.99,3.43,0.87,2.01
July,,,,,,,,,1.82,1.75,2.73,3.21,3.45,0.87,2.14,0.62,4.98,1.9,1.83,3.83,1.95,4.54,1.6,,,,,2.58,0.71,0.73,2.92,0.62,0.25,1.96,2.19,0.11,2.24,3.41,3.53,1.56,3.4
August,,,,,,,,,1.75,1.55,2.1,3.93,3.32,0.49,1.5,1.08,0.51,2.3,3.56,2.44,0.14,3.59,3.08,,,,,0.32,3.88,0.78,2.72,4.31,3.83,2.08,4.15,0.28,3.72,3.17,1.72,0.83,4.18
September,,,,,,,,5.18,0.68,0.94,2.87,1.88,2.41,1.4,1.92,4.4,2.82,1.5,2.78,0.83,1.11,0.4,0.86,,,,,1.83,2.88,1.92,2.26,2.18,0.98,2.15,2.43,1.12,2.38,2.94,3.67,0.14,4.07
October,,,,,,,,1.21,4.24,3.23,1.82,0.63,3.49,2.3,1.48,3.63,1.07,2.52,2.47,3.62,2.91,1.9,2.36,,,,,0.25,2.68,4.42,0.31,0.85,2.81,2.75,2.62,1.19,1.3,1.1,2.44,2.04,4.03
November,,,,,,,,2.23,2.83,7.11,3.22,3.21,1.54,0.79,1.63,4.68,2.03,1.41,2.51,3.67,6,2.49,1.89,,,,,1.4,0.96,1.86,3.65,5.27,2.72,0.56,5.1,1.64,0.65,1.4,2.55,2.16,3.56
December,,,,,,,,2.37,2.34,5.77,2.9,0.75,0.63,0.17,4.51,3,2.79,1.94,3.19,1.19,1.24,1.47,3.19,,,,,1.79,1.87,1,1.07,1.6,2.41,1,1.64,2.01,3.17,2.14,2.34,3.27,2.73
Total,,,,,,,,,24.91,26.04,28.45,26.23,30.11,16.97,20.42,28.89,25.34,28.28,23.16,28.61,25.63,,,,,,,20.44,26.18,18.04,23.73,28.8,21.73,18.82,27.5,18.81,20.94,21.99,28.69,19.96,32.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_14_pt1-page-189.csv no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941 Jan 2.51, Mar 2.12, June 1.75 and total estimated thereofre removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942 Jan 2.82, Mar 1.45, total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10230,TREDINGTON ,01/01/1931,31/12/1966,SP2560043649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
