PULHAM-ST-MARY-MAGDALENE-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,TM198860,Long,1.2315423,Lat,52.427774,Elevation,140,ft,,,,,,,,,,,,
Station no,RR6653,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.7,,2.46,2.91,3.36,1.66,2.96,1.59,2.48,3.98,
February,,,,,,,,,,0.91,,1.74,1.22,0.92,1.77,3.08,4.08,1.38,0.79,
March,,,,,,,,,,2.33,,3.33,2.99,2.01,3.79,1.56,3.7,2.72,0.51,
April,,,,,,,,,,1.21,,0.71,0.42,1.71,0.78,1.33,2.18,2,3.65,
May,,,,,,,,,,1.29,,1.02,1.09,1.72,1.39,1.73,2.47,0.7,0.92,
June,,,,,,,,,,3.29,,3.6,2.31,1.26,1.3,4.12,3.41,1.59,1.45,
July,,,,,,,,,,2.66,,0.84,4.34,2.57,2.37,3.51,1,3.24,3.75,
August,,,,,,,,,,2.36,,0.43,9.66,0.73,1.13,1.29,3.74,4.75,1.2,
September,,,,,,,,,,2.27,,1.8,2.34,2.02,0.99,2.29,1.25,2.31,3.5,
October,,,,,,,,,,2.73,,2.73,1.8,4.02,1.97,1.51,2.55,3.47,3.3,
November,,,,,,,,,,1.85,,2.98,2.62,2.29,3.02,2.37,2.98,1.94,1.87,
December,,,,,,,,,,5,,3.81,2.85,0.7,5.27,3.12,2.7,1.8,3.52,
Total,,,,,,,,,,26.6,,25.45,34.55,23.31,25.44,28.87,31.65,28.38,28.44,
