SELLACK VICARAGE ROSS,,,,,,,,,,,,,,,,,,,,
Grid ref,SO567274,Long,-2.6301403,Lat,51.94368,Elevation,240,ft,,,,,,,,,,,,
Station no,RR7148,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,2.26,3.24,1.09,3.06,3.08,,2.94,5.96,1.97,2.17,4.17,4.01,3.05,4.61,1.73,4.16,,
February,,,0.47,0.56,1.07,1.65,2.31,,1.51,3.05,1.75,1.52,3.52,2.44,2.48,2.06,2.5,1.47,,
March,,,3.21,1,2.5,1.05,2.16,,1.51,1.07,1.44,1.12,2.22,3.36,0.87,1.05,3.04,1.42,,
April,,,2.59,1.36,1.04,0.54,2.08,,2.29,1.13,0.6,2.25,2.56,0.95,1.62,1.52,2.52,2.82,,
May,,,4.17,0.77,0.88,2.75,0.48,,2.19,4.67,1.24,0.77,2.07,2.06,0.61,2.9,0.32,2.61,,
June,,,2.26,3.63,0.8,1.46,2.28,,0.33,0.83,0.43,2.86,3.56,3.35,0.64,2.55,0.55,1.31,,
July,,,1.57,0.61,0.52,1.73,0.64,,0.47,0.31,2.59,4.03,6.78,1.96,0.75,5.54,1.3,2.82,,
August,,,1.44,2.31,0.79,2.82,2.99,,4.77,1,1.05,1.91,1.71,3.1,2.15,1.9,2.48,5.18,,
September,,,4.19,3.18,2.13,0.03,5.2,,3.54,5.63,1.46,6.24,2.01,1.49,3.93,3.34,5.49,2.19,,
October,,,2.94,3.35,1.96,4.79,2.25,,2.01,1.64,4.09,2.85,3.45,1.83,1.93,5.38,2.5,1.77,,
November,,,0.72,1.85,2.36,3.24,1.38,,1.76,2.03,3.06,0.68,5.57,1.79,2.18,4.73,4.26,3.89,,
December,,,1.47,1.14,1.68,1.77,1.22,,6.31,4.83,1.59,2.07,4.22,0.6,2.79,1.57,6.67,1.81,,
Total,,,27.29,23,16.82,24.89,26.07,,29.63,32.15,21.27,28.47,41.84,26.94,23,37.15,33.36,31.45,,
,,,,,,,,,,,,,,,,,,,,
1871 Oct,,,,,,,,,,,,,,,,,,,,
1878 data all crossed out on record,,,,,,,,,,,,,,,,,,,,
Elevation on record 320' but too high for description of location at the Vicarage,,,,,,,,,,,,,,,,,,,,
