MAUCHLINE THE MANSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS500270,Long,-4.377074,Lat,55.513652,Elevation,472,ft,,,,,,,,,,,,
Station no,RR8463,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,2.3,,,,,3.41,1.75,3.82,1.56,,,,
February,,,,,,,1.9,1.72,,,,,1.9,4.2,6.8,0.5,,,,
March,,,,,,,2.5,1.1,,,,,1,1.24,2.62,2.3,,,,
April,,,,,,,1.95,2.4,,,,,0.75,1.17,-999,1.67,,,,
May,,,,,,,2.9,1.4,,,,,4.37,2.42,-999,0.56,,,,
June,,,,,,,1,0.8,,,,,3.3,1.47,2.85,1.63,,,,
July,,,,,,,2.75,3.35,,,,,3.2,4.68,3.97,5.9,,,,
August,,,,,,,2.25,3.45,,,,,6.32,3.7,5.18,5.78,,,,
September,,,,,,,3.8,4.4,,,,,5.04,3.48,0.23,2.03,,,,
October,,,,,,,3.8,1.4,,,,,2.85,5.72,2.12,5.1,,,,
November,,,,,,,3.6,2.95,,,,,3.46,3.82,-999,4.72,,,,
December,,,,,,,4.3,4.2,,,,,2.26,5.23,-999,4.9,,,,
Total,,,,,,,,29.47,34.36,,,,37.86,38.88,40.15,36.65,,,,
,,,,,,,,,,,,,,,,,,,,
1886 January and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,
"The two decades are, in fact, two gauges the observers living next door to each other (<100m apart at TheManse and Viewfield).",,,,,,,,,,,,,,,,,,,,
1894 April/May bracketed 5.74,,,,,,,,,,,,,,,,,,,,
1894 Nov/Dec bracketed 6.82,,,,,,,,,,,,,,,,,,,,
