TORRINGTON-ENFIELD-(RACK-PARK),,,,,,,,
Grid ref,SS490193,Long,-4.15009,Lat,50.954,Elevation,300,ft
Station no,1855,,,,,,,
,,,,,,,,
,1958,1959,1960,,,,,
January,,5.66,4.07,,,,,
February,,0.35,3.33,,,,,
March,,3.29,2.23,,,,,
April,,2.89,3.27,,,,,
May,,1.27,1.53,,,,,
June,,1.53,1.27,,,,,
July,,3.26,5.73,,,,,
August,,1.4,4.98,,,,,
September,,0.32,5.41,,,,,
October,,6,7.4,,,,,
November,,9.22,7.31,,,,,
December,4.36,8.59,6.57,,,,,
Total,,43.78,53.1,,,,,
,,,,,,,,
,,,,,,,,
1958 Dec Rack Park,,,,,,,,
1959 Aug 17th Gauge moved 200yrds W,,,,,,,,
Location taken from CEDA. It matches NGR on sheet but is not Rack Park but location after move in 1959,,,,,,,,
,,,,,,,,
,,,,,,,,
There is a note that despite the frequent moves the record was considered homogeneous.,,,,,,,,
