"TORRINGTON (RACK PARK)",,,,,,,,,,,,
Grid ref,SS490193,Long,-4.151185,Lat,50.953296,,,,,,,
Station no,1855,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.63,4.55,0.91,2.13,5.00,4.87,2.78,4.12,5.66,4.07,,
February,4.90,1.07,2.15,4.25,3.86,0.45,4.71,3.83,0.35,3.33,,
March,4.83,3.07,1.05,2.89,1.25,0.94,3.43,0.85,3.29,2.23,,
April,3.13,3.68,2.73,0.43,1.52,1.40,0.29,0.92,2.89,3.27,,
May,2.82,2.84,3.77,2.94,4.25,0.84,2.35,3.21,1.27,1.53,,
June,1.01,1.51,1.63,3.19,3.34,1.97,2.42,3.05,1.53,1.27,,
July,2.00,1.32,4.85,4.30,2.18,3.57,2.73,2.89,3.26,5.73,,
August,4.30,8.85,3.31,2.82,0.30,3.46,3.21,4.44,1.40,4.98,,
September,2.89,5.13,4.54,4.29,1.72,5.99,5.00,5.35,0.32,5.41,,
October,1.51,5.00,2.96,4.81,2.67,2.72,3.87,3.97,6.00,7.40,,
November,4.96,4.45,2.94,7.32,3.12,1.79,2.36,3.06,9.22,7.31,,
December,4.38,4.01,1.60,3.82,6.77,3.95,1.90,4.36,8.59,6.57,,
Total,42.36,45.48,32.44,43.19,35.98,31.95,35.05,40.05,43.78,53.10,,
Calc annual,42.36,45.48,32.44,43.19,35.98,31.95,35.05,40.05,43.78,53.10,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
