TORRINGTON-ENFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS489191,Long,-4.1515,Lat,50.9518,Elevation,336,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943
January,5.39,3.03,2.55,5.76,4.92,1.75,7.17,2.37,2.47,2.34,5.8,1.63,3.9,,2.55,4.47,2.13,1.6,5.39,5.76,7.26,4.98,3.85,2.66,4.25,3.43,6.54,7.3,7.56,1.44,5.28,3.95,4.5,3.02,3.76,1.16,4.35,4.38,5.21,6.05,2.6,3.54,5.24,6.09
February,5.34,1.61,1.53,2.61,5.67,1.76,5.44,1.95,2.57,0.65,5.8,2.75,2.6,,3.9,5.95,6.68,1.05,2.48,3.71,1.71,0.22,4.9,7.85,1.04,6.86,2.91,3.14,4.28,1.58,1.83,3.06,0.04,2.87,0.28,3.44,2.56,5.53,1.09,2.02,3.2,4.46,0.32,2.36
March,1.41,2.62,2.71,5.79,1.75,5.4,2.26,1.47,3.56,5.07,0.74,2.13,5.61,,6.34,0.76,3.29,2.73,1.77,5.91,4.2,3.04,4.49,1.57,2.07,1.07,0.65,4.17,3.82,0.73,2.32,2.07,1.51,3.19,2.2,1.15,2.33,3.78,0.35,1.96,2.81,2.78,2.39,1.39
April,1.74,3.62,1.25,1.83,1.63,2.61,1.42,4.42,2.37,2.99,2.31,2.63,0.16,,2.28,1.46,1.08,2.43,2.05,2.5,4.96,0.93,4.08,3,3.35,2.29,1.81,1.81,1.65,0.95,2.25,2.63,2.44,1.19,2.39,4.57,2.06,3.46,0.2,2.1,3.46,1.06,1.6,0.89
May,1.81,0.85,2.61,3.83,3.13,0.16,3.36,2.82,1.85,1.88,2.66,1.16,1.71,,1.32,2.41,2.61,1.78,0.85,0.97,1.8,1.56,1.62,2.34,3.89,3.74,1.41,0.83,1.16,3.49,1.66,3.82,2.62,2.37,1.37,1.66,0.93,2.27,2.35,1.24,1.6,1.83,4.93,3.88
June,4.13,2.91,3.95,1.73,1.14,3.09,1.85,3.26,1.65,2.4,3.5,3.62,6.73,,1.66,1.42,2.92,5.11,1.4,1.61,2.31,0.15,1.24,0.92,1.77,0.01,2,2.92,3.07,1.9,0.59,3.41,0.88,1.44,1.85,3.25,1.86,1.15,2.02,1.51,0.76,1.12,0.43,1.57
July,1.24,1.01,1.88,3.72,3.49,1.32,0.83,1.99,2.63,1.79,2.78,0.54,3.1,,4.67,3.86,0.84,2.38,5.96,0.84,4.99,1.57,3.03,2.91,3.88,3.8,2.03,3.92,1.92,2.37,3.07,4.86,2.22,1.78,0.28,0.5,7.61,1.43,3.09,6.47,5.33,1.39,3.54,
August,2.68,2.12,2.24,3.97,3.22,5.29,2.49,2.11,3.39,1.65,4.58,3.83,8.1,,4,2.08,3.77,5.59,3.15,2.62,1.76,2.72,3.01,3.35,4.39,3.23,3.06,5.39,3.32,3.19,3.75,4.45,1.56,1.65,4.3,2.26,0.49,0.81,5.45,2.84,0.39,4.44,3.19,
September,1.72,3.25,3.46,4.29,2.8,2.09,0.74,0.68,2.22,2.37,0.18,2.59,1,1.22,2.42,1.46,2.42,2.33,8.78,1.76,3.57,2.47,3.52,3.85,5.16,4.05,1.53,7.46,1.41,0.61,5.19,1.7,4.73,1.24,3.16,5.44,3.77,3.66,1.21,0.76,2.35,0.27,4.36,
October,5.01,3.47,3.77,10.77,2.73,3.09,5.57,6.54,1.37,7.58,6.65,4.95,5.98,,3.62,4.4,5.68,8.18,2.15,2.07,4.67,2.05,1.59,6.38,5.74,4.14,3.49,2.7,6.63,7.51,5.79,1.25,8.55,5.46,3.64,7.2,1.63,2.73,6.36,3.39,3.85,2.56,2.77,
