STAVELEY MIDDLE FAIRBANK,,,,,,,,,,,,,,,,,,,,
Grid ref,SD446979,Long,-2.8543065,Lat,54.373578,Elevation,500,ft,,,,,,,,,,,,
Station no,RR6079,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,6.24,9.79,8.55,6.53,7.64,6.53,3.52,13.5,10.13,9.7,11.05,3.25,10.83,,
February,,,,,,5.15,9.22,7.64,8.62,13.22,4.79,7.01,6.63,1.62,3.71,2.23,6.1,4.91,,
March,,,,,,1.93,4.39,3.3,8.88,1.08,3.45,4.01,7.39,2.79,4.14,1.76,3.01,3.2,,
April,,,,,,1.41,2.82,7.11,3.51,3.71,2.81,3.8,2.71,0.36,1.61,2.09,1.5,2.95,,
May,,,,,,7.56,1.83,2.74,2.9,2.62,5.79,1.93,2.79,2.96,0.98,3.26,0.71,3.66,,
June,,,,,,0.39,3.29,2.45,0.84,2.42,2.58,2.64,5.76,3.92,2.4,3.64,4.77,4.74,,
July,,,,,4.19,2.88,4.66,4.99,0.82,2.6,2.05,5.93,3.93,7.51,4.49,2.65,1.92,7.97,,
August,,,,,3.51,6.83,6.9,4.67,8.68,2.22,7.46,6.67,5.77,6.18,9.45,3.73,6.04,6.18,,
September,,,,,8.47,1.99,11.81,8.27,3.49,14.98,5.39,3.71,8.93,4.36,7.23,7.5,5.86,5.15,,
October,,,,,3.3,7.08,4.66,7.6,8.28,3.21,11.75,9.34,10.29,7.7,18.67,6.13,5.18,13.89,,
November,,,,,6.23,6.12,11.4,0.68,4.8,10.27,5.85,2.28,9.25,3.34,5.26,6.47,5.99,10.94,,
December,,,,,7.44,4.71,9.94,6.42,11.56,8.12,2.77,8.4,5.92,5.14,4.81,4.12,11.95,7.58,,
Total,,,,,,52.29,80.71,64.42,68.91,72.09,61.22,59.24,82.87,56.01,72.45,54.63,56.28,82,,
,,,,,,,,,,,,,,,,,,,,
1870 total incorrect on original record,,,,,,,,,,,,,,,,,,,,
