HASLEMERE-CHURCH-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SU903334,Long,-0.71193612,Lat,51.092812,Elevation,530,ft.,,,,,,,,,,,,
Station no,167/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.92,2.44,4.15,3.45,6.49,1.23,1.24,4.93,3.13,1.47,2.48,,,,,,
February,,,,0.88,2.74,3.14,2.39,2.25,1.85,6.48,8.12,0.85,1.91,3.48,,,,,,
March,,,,0.24,1.47,1.41,6.56,1.09,1.62,2.18,5.59,3.25,0.62,3.77,,,,,,
April,,,,1.43,1.27,2.74,2.92,1.98,2.51,3.27,3.46,2.38,2.91,0.36,,,,,,
May,,,,0.62,1.97,3.42,1.56,2.95,2.73,1.82,3.27,3.74,2.85,3.07,,,,,,
June,,,,2.42,2.48,3.37,2.4,4.07,0.76,1.47,1.59,1.76,2.07,4.41,,,,,,
July,,,,2.19,7.1,2.6,1.18,1.12,1.01,4.54,1.9,0.65,4.31,3.15,,,,,,
August,,,,1.87,1.76,5.54,0.69,4.27,1.28,4.84,5.78,3.72,2.26,,,,,,,
September,,,,2.82,3.37,5.19,1.54,2.67,1.48,4.3,3.54,4.37,3.16,,,,,,,
October,,,,4.85,4.49,1.76,0.73,2.27,9.31,0.68,1.47,5.1,4.26,,,,,,,
November,,,,6.11,0.21,6.67,1.83,2.09,3.85,7.58,11.26,4.73,1.88,,,,,,,
December,,,,3.26,5.14,4.09,3.22,5.64,2.37,2.27,4.31,3.13,1.1,,,,,,,
Total,,,,29.61,34.44,44.08,28.47,36.89,30,40.67,55.22,36.81,28.8,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Church Hill Farm.,,,,,,,,,,,,,,,,,,,,
"Stated altitude slightly high but 1940s record has an NGR 100m N, which is a better match to stated altitude.",,,,,,,,,,,,,,,,,,,,
