ARUNDEL-RIVER-ROAD,,,,,,,,,,
Grid ref,TQ017069,Long,-0.556605,Lat,50.852686,Elevation,12,ft,,
Station no,446/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.57,4.89,3.7,3.06
February,,,,,,,4.68,3.03,0.17,3.5
March,,,,,,,1.97,2.03,2.31,2.05
April,,,,,,,0.12,0.77,2.42,1.03
May,,,,,,,1.13,3.38,0.67,1.6
June,,,,,,,2.33,3.24,0.87,1.96
July,,,,,,,4.41,1.48,1.08,4.14
August,,,,,,,2.42,5.13,1.72,5.38
September,,,,,,,3.93,3.9,0.15,4.71
October,,,,,,1.92,1.89,4.24,3.2,7.92
November,,,,,,0.78,3.02,2.32,3.73,7.09
December,,,,,,4.55,2.54,4.63,7.51,4.46
Total,,,,,,,31.01,39.04,27.53,46.9
