"FELINDRE UPPER LLIW RESERVOIR",,,,,,,,,,,,
Grid ref,SN662059,Long,-3.939045,Lat,51.735792,,,,,,,
Station no,4034,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,5.70,2.66,,
February,,,,,,,,,3.62,0.85,,
March,,,,,,,,,5.46,7.00,,
April,,,,,,,,,3.42,4.36,,
May,,,,,,,,,4.52,2.41,,
June,,,,,,,,,2.02,3.02,,
July,,,,,,,,,7.21,5.56,,
August,,,,,,,,,7.82,2.59,,
September,,,,,,,,,4.32,5.31,,
October,,,,,,,,,3.38,12.09,,
November,,,,,,,,,4.13,2.44,,
December,,,,,,,,,7.38,11.57,,
Total,66.12,54.41,50.09,73.75,,49.87,65.43,66.49,58.98,59.86,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.98,59.86,,
Difference,66.12,54.41,50.09,73.75,NaN,49.87,65.43,66.49,-0.00,0.00,,
