CREWKERNE-MARKS-BARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST435113,Long,-2.804,Lat,50.8991,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,4.16,6.26,5.13,2.88,5.1,1.75,3.65,3.33,4.08,3.21,4.61,1.5,4.63,,,,,,,,,,
February,,,,,,,,,1.7,3.27,0.87,0.22,2.73,8.91,0.64,3.95,1.83,4.04,2.01,1.38,0.78,,,,,,,,,,
March,,,,,,,,,1.33,5,3.1,2,3.02,1.64,1.72,0.65,0.48,4.22,2.27,0.25,2.29,,,,,,,,,,
April,,,,,,,,,2.04,2.18,4.1,0.92,2.76,2.55,3.43,2.67,2.75,1.54,1.41,0.99,2.84,,,,,,,,,,
May,,,,,,,,,1.26,0.65,1.65,2.14,0.44,1.31,4.61,3.84,2.02,0.84,1.29,1.88,1.45,,,,,,,,,,
June,,,,,,,,,1.08,0.8,1.34,0.7,0.73,0.5,2.9,0.01,2.45,1.95,2.1,1.55,0.31,,,,,,,,,,
July,,,,,,,,,4.53,2.31,5.63,0.64,3.95,0.77,4.05,2.33,3.46,3.95,1.83,1.2,1.55,,,,,,,,,,
August,,,,,,,,5.55,2.41,3.31,1.68,1.49,4.24,2.61,3.45,2.25,1.27,2.77,1.52,1.62,2.99,,,,,,,,,,
September,,,,,,,,1.85,6.03,2.35,1.73,0.63,2.08,2.99,5.37,3.82,0.78,4.62,1.67,0.41,3.47,,,,,,,,,,
October,,,,,,,,3.39,2.86,1.9,3.13,1.2,1.6,4.72,5.88,4.37,3.96,2.28,6.14,4.66,2.23,,,,,,,,,,
November,,,,,,,,1.04,3.56,2.09,1.58,2.61,2.11,2.36,3.33,3.45,9.02,2.79,2.85,8.68,4.53,,,,,,,,,,
December,,,,,,,,1.09,3.57,5.07,3.12,1.75,4.63,3.17,5.16,4.09,0.46,4.15,2.69,6.8,3.84,,,,,,,,,,
Total,,,,,,,,,34.53,35.19,33.06,17.18,33.39,33.28,44.19,34.76,32.56,36.36,30.39,30.92,30.91,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Dec Station terminated Moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
