WEST-NORWOOD-LOWER-NORWOOD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ320716,Long,-0.10268872,Lat,51.42804,Elevation,185,ft.,,,,,,,,,,,,
Station no,RR4445,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,0.99,2.4,0.4,1.59,1.27,1.97,1.96,1.55,3.89,1.35,1,0.94
February,,,,,,,,,1.21,3.58,2.3,2.82,1.24,3.22,1.44,2.57,0.56,0.51,1.14,2.35
March,,,,,,,,,1.11,0.64,0.39,1.64,0.86,0.78,1.37,1.69,1.29,1.65,2.6,1.43
April,,,,,,,,,4.32,2.51,2.05,0.54,2.82,1.52,1.2,1.98,1.57,1.67,1.77,2.12
May,,,,,,,,,3.91,3.45,0.53,1.1,1.03,1.88,0.91,2.39,3.98,1.83,0.83,3.14
June,,,,,,,,,2.34,3.63,2.31,1.79,2.35,0.93,2.18,1.66,0.86,1.1,3.23,2.2
July,,,,,,,,,0.94,3.43,3.4,2.08,2.33,2.06,2.66,0.49,2.2,0.93,6.78,3.06
August,,,,,,,,,6.02,4.81,0.39,3.79,1.11,0.65,0.98,1.07,0.92,2.69,3.3,2.11
September,,,,,,,,,0.75,2.95,4.56,2.04,2.47,2.94,1.76,4.35,1.89,2.15,1.07,
October,,,,,,,,,1.47,0.53,7.21,2.58,5.72,1.85,1.17,3.57,1.91,1.43,1.4,
November,,,,,,,,,3.98,0.82,2,2.65,2.07,2.94,1.3,2.81,2.93,4.19,3.96,
December,,,,,,,,,1.23,0.76,2.83,2.64,1.89,0.7,2.12,1.16,4.16,1.35,1.14,
Total,,,,,,,,,28.27,29.51,28.37,25.26,25.16,21.44,19.05,25.29,26.16,20.85,28.22,
,,,,,,,,,,,,,,,,,,,,
NGR is 0.25 miles ESE of Thornlaw Road position at the stated altitude based on the move described in the records.,,,,,,,,,,,,,,,,,,,,
Gauge moved 0.25 miles WNW in Sep 1889,,,,,,,,,,,,,,,,,,,,
