WEST-NORWOOD-THORNLAW-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ316716,Long,-0.10843899,Lat,51.428133,Elevation,221,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,1.91,1.56,0.46,1.71,2.77,1.76,0.77,1.97,0.82,2.54,2.59,0.76,0.65,2.27,2.65,1.06,3.63,0.92,1.5,1.04,1.94,1.19,,,,,,,,
February,,,,,,,,,,,0.99,0.05,1.42,3.02,1.72,0.22,0.4,2.06,1.21,2.11,4.5,1.06,0.7,1.37,2.4,0.83,1.81,1.42,1.3,0.61,3.15,1.23,,,,,,,,
March,,,,,,,,,,,1.97,2.5,1.23,0.35,0.9,1.18,3.07,3.73,1.48,0.51,0.89,2.16,1.6,1.99,1.29,3.54,1.11,0.89,2.63,3.12,1.17,1.88,,,,,,,,
April,,,,,,,,,,,1.71,0.75,1.41,0.12,1.4,1.59,0.76,1.72,1.05,2.7,0.83,1.73,0.5,1.91,1.19,1.68,0.68,3.47,2.31,1.87,1.75,1.78,,,,,,,,
May,,,,,,,,,,,1.5,2.94,1.25,0.54,1.46,0.43,0.22,1.46,2.98,1.66,1.24,0.94,2.53,3.11,2.01,0.82,1.47,1.84,1.9,1.38,2.05,0.91,,,,,,,,
June,,,,,,,,,,,2.61,1.31,2.45,0.95,2.37,0.24,1.98,3.08,1.36,0.94,2.78,1.86,4.14,6.55,0.82,5.01,2.67,2.68,2.63,4.33,2.75,,,,,,,,,
July,,,,,,,,,,,5.72,4.18,2.46,2.45,3.47,4.13,1.53,1.13,0.8,0.67,1.33,2.16,1.28,4.11,1.46,0.85,0.62,0.95,3.46,3.36,2.75,,,,,,,,,
August,,,,,,,,,,,2.19,3.66,3.35,1.08,3.43,2.45,2.51,3.29,1.15,0.55,3.34,2.02,3.29,4.23,1.78,2.71,0.81,2.18,3.58,2.09,2.25,,,,,,,,,
September,,,,,,,,,,,0.65,0.91,2.03,1.14,1.48,0.87,5.72,2.83,0.35,2.43,0.69,1.37,2.29,2.46,1.33,1.45,2.16,0.52,1.69,2.53,0.91,,,,,,,,,
October,,,,,,,,,,3.53,1.06,5.04,4.03,4.32,4.57,2.9,2.86,0.57,2.79,2.39,1.85,2.4,1.35,4.8,1.77,1.04,3.2,3.11,1.98,4.16,2.68,,,,,,,,,
November,,,,,,,,,,0.65,1.55,2.5,2.33,2.24,3.48,3.31,1.48,1.24,2.53,4.17,1.97,0.74,1.66,2.01,1.56,3.17,4.11,2.26,0.84,0.86,3.21,,,,,,,,,
December,,,,,,,,,,1.35,0.75,3,1.25,2.33,1.89,2.32,3.02,2.74,2.48,1.37,2.32,3.27,1.46,1.33,2.14,0.61,2.15,2.71,2.12,2.53,3.22,,,,,,,,,
Total,,,,,,,,,,,22.61,28.4,23.67,20.25,28.94,21.4,24.32,25.82,19,22.04,24.33,20.47,21.45,36.14,20.4,22.77,24.42,22.95,25.94,27.88,27.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Thornlaw Road at the stated altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
