WEYBRIDGE-BURCOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ089638,Long,-0.43631,Lat,51.36311,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,2.65,1.01,3.43,0.62,1.68,0.74,1.53,1.11,3.29,2.36,0.59,3.94,0.81,1.15,3.02,4.14,3.11,2.45,2.72,1.57,2.82,2.11,3.03,1.94,,,
February,,,,,2.51,0.57,1.62,1.28,0.8,0.39,3.04,1.15,1.9,0.8,2.55,3.68,3.65,0.88,0.95,2.26,0.44,0.45,2.35,3.42,0.53,3.8,2.47,4.07,,,
March,,,,,1.5,3.3,1.02,0.79,2.57,2.96,1.02,1.54,2.44,2.51,4.2,0.76,4.81,1.84,0.9,3.23,1.54,1.19,1.88,2.44,0.7,0.43,0.68,2.71,,,
April,,,,,1.16,1.51,0.41,3.51,2.42,1.74,1.08,1.63,0.04,2.32,1.13,1.2,1.24,1.98,3.45,2.66,3.11,0.82,2.58,2.19,3.55,2.38,2.89,1.75,,,
May,,,,,2.44,0.34,1.59,1.38,1.79,1.47,1.64,1.56,1.35,1.91,1.34,3.25,1.78,2.77,2.76,0.3,0.68,1.47,1.11,2.57,3.29,2.14,1.67,1.25,,,
June,,,,,0.64,4.47,2.26,1.84,1.72,4.05,1.9,1.98,2.9,0.33,1.04,1.09,1.68,2.84,0.99,1.35,1.88,0.21,1.08,0.36,2.99,0.05,3.47,3.47,,,
July,,,,,1.88,0.46,1.11,1.05,2.62,2.48,2.63,1.56,1.35,1.59,2.71,3.36,1.29,5.65,5.78,2.58,5.31,0.29,3.13,1.68,4.46,4.01,1.62,2.47,,,
August,,,,,1.57,3.1,0.74,2.27,3.12,2.18,1.92,0.61,5.71,1.39,1.5,3.15,3.54,4.16,1.21,1.71,1.62,0.62,2.42,1.7,2.76,3.3,1.19,3.41,,,
September,,,,,1.43,1.79,1.6,0.56,1.2,3.05,1.01,1.08,2.57,2.02,0.74,2.22,1.48,1.9,6.16,1.72,2.38,1.61,1.66,1.58,3.11,2.57,1.57,4.95,,,
October,,,,,1.62,1.21,3.83,3.86,2.22,3.37,3,2.89,2.43,3.78,1.43,2.87,4.21,3.02,1.23,0.84,1.78,0.76,1.05,6.09,3.83,2.87,2.64,1.5,,,
November,,,,,1.64,3.05,3.72,2.02,0.63,0.72,2.62,3.11,1.77,2.01,2.91,1.91,3.99,1.05,2.01,1.76,1.33,1.75,1.51,1.7,2.81,1.82,5.26,3.27,,,
December,,,,,2.09,0.68,1.86,2.86,2.04,2.68,3.53,5.14,2.7,1.06,6.62,5.57,2.44,1.38,2.11,4.36,2.31,1.3,3.72,2.33,3.24,3.11,0.38,4.48,,,
Total,,,,,21.13,21.49,23.19,22.04,22.81,25.83,24.92,23.36,28.45,22.08,26.76,33,30.92,28.62,30.57,26.91,25.49,12.92,25.21,27.63,34.09,28.59,26.87,35.27,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burcote  on NE corner of St Georges Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burcote and Summerleigh either side of Burcote Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Jan 1 Gauge moved 70-100ft W to Summerleigh and a better position in middle of small kitchen garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
