"WEYBRIDGE BURCOTE",,,,,,,,,,,,
Grid ref,ZZ000000,Long,NaN,Lat,NaN,,,,,,,
Station no,RR4869,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.65,1.01,3.43,0.62,1.68,0.74,,
February,,,,,2.51,0.57,1.62,1.28,0.80,0.39,,
March,,,,,1.50,3.30,1.02,0.79,2.57,2.96,,
April,,,,,1.16,1.51,0.41,3.51,2.42,1.74,,
May,,,,,2.44,0.34,1.59,1.38,1.79,1.47,,
June,,,,,0.64,4.47,2.26,1.84,1.72,4.05,,
July,,,,,1.88,0.46,1.11,1.05,2.62,2.48,,
August,,,,,1.57,3.10,0.74,2.27,3.12,2.18,,
September,,,,,1.43,1.79,1.60,0.56,1.20,3.05,,
October,,,,,1.62,1.21,3.83,3.86,2.22,3.37,,
November,,,,,1.64,3.05,3.72,2.02,0.63,0.72,,
December,,,,,2.09,0.68,1.86,2.86,2.04,2.68,,
Total,,,,,21.13,21.49,23.19,22.04,22.81,25.83,,
Calc annual,0.00,0.00,0.00,0.00,21.13,21.49,23.19,22.04,22.81,25.83,,
Difference,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
