WARRENPOINT SUMMERHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ1452718393,Long,-6.249726,Lat,54.102024,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,4.83,2.26,10.2,3.17,4.32,1.34,1.19,2.51,6.32,5.15,2.81,3.37,2.78,1.77,4.53,3.44,1.23,2.94,3.63,3.5,2.5,1.94,2.79,2.13,4.59,3.97,4.94,3.19,5.79,3.55,2.14,3.98,0.87,1.93,
February,,,,,,2.57,5.18,2.09,2.31,3.79,2.78,5.06,4,4.63,4.59,4.79,3.49,1.12,0.46,2.57,1.71,0.11,1.89,4.25,3.78,0.54,2.97,2.16,2.67,4.14,3.24,1.76,4.04,3.17,3.23,1.33,2.21,0.78,1.21,
March,,,,,,1.94,3.43,3.91,1.16,1.96,3.44,5.73,3.31,2.05,4.17,3.18,5.02,0.96,2.83,3.09,3.59,1,0.47,1.1,1.85,3.84,4.53,5.74,1.13,1.61,0.95,2.96,1.87,5.54,2.87,5.09,1.49,1.8,2,
April,,,,,,0.52,2.67,4.41,2.67,2.35,3.75,2.34,5.38,2.23,2.06,4.35,2.33,1.36,1.97,3.72,1.67,3.45,0.92,0.95,3.06,3.91,1.28,3.64,5.8,4.47,1.48,2.91,2.77,1.61,2.19,2.21,1.59,2.31,2.25,
May,,,,,,2.15,0.42,3.56,5.87,4.4,1.03,3.3,3.04,2.22,2.3,1.57,4.82,1.02,1.79,3.9,1.62,1.56,4.59,1.42,2.76,0.19,0.17,1.12,3.2,3.49,2.48,2.79,2.85,2.29,2.33,0.99,4.11,2.72,2.3,
June,,,,,,4.74,2.48,3.2,2.72,6.99,2.93,5.21,4.02,1.77,0.39,0.93,1.1,0.54,3.4,0.03,3.17,1.84,2.79,1.86,2.48,2.33,3.51,6,3.59,2.25,6.08,1.76,0.85,2.02,1.49,1.88,1.66,4.51,1.29,
July,,,,,,3.2,1.31,4.02,0.5,5.68,3.24,2.69,6.33,3.83,3.92,1.65,3.45,2.84,4.64,2.46,3.02,1.89,2.88,2.38,3.85,3.91,7.72,1.67,0.48,2.8,3.65,0.73,4.72,7.38,3.43,1.79,2.41,1.4,2.34,
August,,,,,,3.62,4.19,3.73,3.16,4.05,1.08,4.78,3.7,4.36,1,2.74,1.95,2.08,2.75,6.93,2.87,5.75,7.48,4.47,2.1,6.85,1.4,5.66,4.71,1.65,4.32,3.54,3.42,4.81,5.74,7.63,4.85,2.85,1.91,
September,,,,,,8.4,4.43,1.83,3.04,5.98,4.21,2.65,4.06,5.14,2.25,6.08,2.72,1.99,1.63,1.29,2.27,2.18,4.04,1.41,0.36,0.48,5.09,2.52,3.66,3.41,1.37,3.54,2.78,4.04,3.65,0.87,0.67,1.07,4.74,
October,,,,,,7.86,6.1,4.13,2.75,1.47,2.55,4.31,4.08,3.36,2.3,3.2,6.34,2.16,0.88,3.92,1.37,3.07,4.06,2.14,8.43,3.02,2,2.6,4.94,2.2,4.46,3.58,2.21,4.56,0.87,1.08,4,4.71,2.05,
November,,,,,,5.87,6.38,5.67,1.4,1.16,3.6,5.12,7.8,4.02,2.89,3.3,2.88,2.8,5.02,1.82,5.5,4.16,4.27,1.87,2.62,4.29,1.63,4.49,3.04,2.03,5.94,4.02,5.83,2.02,1.39,3.6,2.53,2.39,,
December,,,,,,3.05,12.99,5.11,1.3,2.29,2.23,3.27,4.9,2.08,4.81,1.29,4.4,2.9,5.27,3.01,3,3.22,1.7,4.01,4.02,3.93,6.59,4.36,2.65,7.4,4.18,3.43,3.26,3.93,2.22,1.63,1.32,2.87,,
Total,,,,,,48.75,51.84,51.86,30.05,44.44,32.18,45.65,53.13,42.01,35.83,35.89,41.87,22.55,32.41,37.27,33.23,29.46,38.03,29.49,38.81,35.79,38.83,42.75,38,40.04,42.12,35.96,37.79,47.16,32.96,30.24,30.82,28.28,,
