"EDINBURGH W W (GARELET DOD)",,,,,,,,,,,,
Grid ref,NT126175,Long,-3.383139,Lat,55.443543,,,,,,,
Station no,5068/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.90,8.68,3.28,6.40,9.10,3.95,11.40,10.30,5.80,9.60,,
February,5.30,2.17,3.50,7.70,3.59,2.16,8.70,6.70,2.80,10.20,,
March,4.60,6.20,0.70,6.40,4.71,3.29,7.50,3.70,7.20,2.60,,
April,5.80,4.60,5.70,1.70,3.50,1.20,3.90,2.60,8.30,9.35,,
May,4.30,3.60,6.50,7.40,5.50,4.10,3.80,5.90,2.40,4.60,,
June,2.70,4.20,3.60,6.30,3.90,5.70,2.60,4.80,5.20,4.80,,
July,5.50,4.40,10.20,6.50,3.20,7.50,6.00,6.70,7.70,6.70,,
August,11.80,6.20,4.80,7.70,2.50,10.20,7.60,8.30,2.30,5.50,,
September,9.40,3.60,7.90,11.90,5.50,7.60,5.50,8.00,1.70,6.25,,
October,1.00,9.10,6.70,14.00,5.20,5.50,6.90,6.10,7.60,6.55,,
November,18.50,6.24,10.60,14.80,5.20,3.00,4.90,2.10,22.10,15.49,,
December,13.35,7.88,7.20,9.30,8.00,10.10,6.40,8.20,14.40,7.00,,
Total,90.15,66.87,70.68,100.10,59.90,64.30,75.20,73.40,87.50,88.64,,
Calc annual,90.15,66.87,70.68,100.10,59.90,64.30,75.20,73.40,87.50,88.64,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
