WORCESTER WATER WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO840565,Long,-2.235555,Lat,52.206489,Elevation,52,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,
January,,,,,,,,,0.56,0.42,2.07,1.3,1.73,1.44,1.53,2.75,,,0.27,3.38,3.5,1.5,1.87,2.05,1.75,1.08,2.99,0.87,0.53,0.91,2.08,0.68,3.62,3.82,0.81,2.39,1.23,1.45,2.27,2.91,2.78,2.25,3.19,1.05,2.78,1.36,2.92,3.19,3.5,1.26,4.1,1.41,2.43,1.87,2.28,0.78,3.17,2.76,2.99,5.23,3.3,3.24,2.99,5.19,2.11,1.48,2.41,1.93,3.86,1.55,0.47,2.2,1.93,0.59,1.05,2.7,3.71,1.16,1.95,3.55,5.35,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.42,1.07,0.39,0.34,0.97,1.98,2.01,0.23,,,0.79,2.47,4.26,0.84,0.99,1.52,3.45,0.77,1.46,0.64,1.02,0.3,2.58,1.37,1.64,1.01,1.55,3.36,3.4,0.96,1.13,2.75,0.65,0.23,2.51,5.31,0.39,2.37,2.24,2.48,1.64,0.62,0.54,1.89,0.17,2.61,0.4,1.64,2.32,3.66,0.53,0.76,2.12,2.15,0.59,1.13,0.74,1.46,1.5,1.3,0.92,0.99,4.11,2.58,0.59,1.25,1.65,1.49,0.31,2.51,4.6,0.12,2.18,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.11,1.88,0.84,1.16,0.65,0.25,0.78,1.33,,,0.23,0.51,0.92,1.64,1.13,2.89,1.02,2.79,0.92,0.56,2.81,2.73,0.6,1.63,3.29,4.16,2.28,0.57,2.96,2.16,1.16,4.06,2.7,0.96,1.97,1.43,0.72,0.41,0.46,2.03,2.29,0.06,2.2,0.18,1.58,1.9,1.75,0.5,2.49,2.57,0.29,0.99,1.34,2.11,1.95,1,0.23,0.91,0.61,5.88,1.13,1.91,1.24,4.02,1.66,0.91,2.07,2.16,0.85,1.82,1.53,2.56,1.96,,,,,,,,,,,,,,,,,,
April,,,,,,,,,0.88,2.42,1.06,1.08,0.85,0.23,1.37,1.41,,,1.02,1.73,0.7,2.19,1.74,1.69,0.85,1.57,1.49,2.34,2.66,1.89,2.02,0.78,0.07,3.07,1.09,0.97,0.9,0.81,1.96,1.75,3.52,1.15,1.59,2.84,2.82,1.61,1.99,1.15,1.21,0.66,2.52,2.86,3.55,0.82,1.98,3.96,1.59,1.87,0.06,1.78,2.08,1.27,0.83,1.27,1.5,0.82,2.68,2.2,1.66,2.1,1.82,2.41,1.82,1.92,0.39,1.09,1.8,0.04,0.55,2.9,1.27,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.76,2.36,2.02,3.09,1.47,1.96,2.32,0.53,,,3.59,2,2.14,1.12,2.17,4.16,1.83,0.57,2.15,2.35,1.5,0.96,1.06,0.45,2.23,2.31,1.37,2.63,2.62,3.08,1.98,0.94,1.39,1.5,1.33,2.23,6.23,2.95,2.78,1.46,1.33,1.53,2.27,3.91,8.28,1.36,0.96,0.98,0.84,2.2,1.43,1.2,2.58,2.16,3.64,3.54,0.55,2.45,3.11,2.16,3,3.22,1.52,3.05,2.51,2.08,2.44,4.53,0.49,1.67,2.24,1.31,1.26,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.95,0.91,1.29,2.27,1.76,0.88,1.94,2.05,,,1.14,1.1,2.09,1.35,2.95,2.01,0.64,2.02,2.98,2.3,2.24,3.14,2.84,1.23,4.45,0.61,2.43,1.07,1.16,1.72,0.77,0.7,2.46,0.45,0.7,0.24,2.05,0.03,1.13,2.99,2.2,1.87,0.92,3.45,1.07,1.61,0.54,2.52,4.11,0.84,1.13,1.82,0.76,2.48,0.09,1.54,1.51,3,1.77,1.13,1.88,0.31,1.9,0.89,1.56,1.23,2.94,4.07,1.68,1.33,3.56,0.71,1.49,,,,,,,,,,,,,,,,,,
July,,,,,,,,,4.01,2.12,1.57,2.34,1.46,1.76,2.8,2.99,,,0.83,1.2,1.07,3.3,1.35,2.67,2.6,2.38,1.05,2.17,1.53,2.5,1.94,0.45,3.56,0.77,3.43,5.84,1.76,2.24,1.85,2.82,5.17,0.6,4.92,2.43,3.12,2.78,1.78,2.83,1.35,1.38,2.59,2.68,2.36,1.08,0.85,0.35,5.08,2.42,2.98,3.93,2.2,2.9,1.13,1,2.92,2.36,2.22,1.39,0.77,1.9,2.23,0.71,0.53,2.2,2.44,0.98,2.97,3.04,2.5,1.32,2.51,,,,,,,,,,,,,,,,,,
August,,,,,,,,,1.58,2.44,2.3,3.05,2.9,1.42,2.36,1.4,,,2.03,1.58,2.99,1.65,2.72,3.13,1.52,5.24,0.54,1.84,2.13,1.65,5.07,1.4,6.86,1.67,1.38,3.27,2.1,3.69,0.94,1.81,0.46,2.98,2.96,1.53,2.4,2.13,2.05,3.75,1.8,1.43,3.08,4.21,2.62,0.68,1.65,1.67,0.34,1.48,2.68,1.8,0.34,3.71,2.16,1.15,3.74,2.42,6.39,1.11,4.69,0.94,3.48,3.46,4.47,2.65,3.42,0.22,4.08,5.81,3.98,2.17,4.36,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.61,1.3,0.75,0.86,2,0.95,1.65,0.36,,,0.55,3.02,0.44,1.33,1,2.33,1.89,0.74,0.63,0.45,3.09,3.36,0.68,1.06,0.62,1.92,0.64,0.79,0.78,1.72,4.79,1.05,2.1,0.76,2.25,2.08,3.35,3.64,0.56,3.83,0.68,1.04,4.26,1.84,2.91,1.4,1.63,3.25,2.01,2.66,1.28,0.83,1.46,1.14,1.33,2.38,2.52,1.34,3.49,1.28,2.52,1.87,3.08,3.2,1.57,1.83,1.08,1.6,2.93,3.58,4.42,0.18,4.07,,,,,,,,,,,,,,,,,,
October,,,,,,,,,0.48,2.39,0.92,5.54,1.62,1.75,2.17,1.91,,,3.11,2.21,2.74,1.16,2.43,4.21,0.99,1.04,4.34,6.02,1.73,2.58,2.53,1.41,2.56,3.41,1.42,3.74,3.48,1.69,0.87,2.17,2.65,1.83,0.55,3.92,3.73,2.69,2.44,1.55,4.69,4.07,2.43,0.68,3.1,3.01,1.03,3.01,1.26,2.16,2.35,3.05,3.31,2.95,2.39,1.58,2.89,2.87,0.77,0.39,2.24,4.73,0.66,0.64,3.84,1.82,2.33,1.45,1.42,0.99,2.25,2.5,6.28,,,,,,,,,,,,,,,,,,
November,,,,,,,,,4.58,0.84,1.86,1.91,1.98,1.18,2.67,3.03,,,1.78,1.51,2.05,0.65,2.2,1.17,1.33,2.75,2.21,1.96,1.39,0.75,3.61,2.32,1.43,2.29,2.36,2.22,2.5,0.74,1.52,0.94,0.64,2.01,0.93,1.34,3,1.53,6.3,2.97,2.42,7.27,2.89,3.25,1.26,0.74,1.77,5.14,1.92,1.3,2.78,3.58,6.19,2.97,1.11,1.23,3.63,0.22,3.88,1.86,1.16,2.44,3.74,5.95,2.2,1.02,5.58,3.16,1.17,2.16,2.29,4.12,3.86,,,,,,,,,,,,,,,,,,
