"ALDEBURGH (HAVEN SLUICE)",,,,,,,,,,,,
Grid ref,TM468583,Long,1.607587,Lat,52.167734,,,,,,,
Station no,1362/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.82,2.60,0.79,1.64,2.08,4.22,1.40,2.27,2.08,4.03,,
February,3.59,0.95,1.12,2.11,2.19,0.86,2.46,3.24,0.16,1.35,,
March,2.56,2.71,0.30,2.33,1.71,0.66,1.34,1.41,1.57,1.72,,
April,2.99,0.72,1.47,0.42,0.19,0.87,0.27,1.27,1.73,0.80,,
May,1.62,1.37,1.16,1.60,2.57,0.63,1.21,3.42,0.26,0.96,,
June,1.32,1.15,1.13,2.64,2.74,1.68,1.93,2.95,0.59,2.08,,
July,1.82,1.28,2.47,2.75,0.16,1.81,3.42,2.93,1.35,2.70,,
August,2.95,3.44,1.62,4.93,2.36,3.83,3.47,2.77,2.36,3.83,,
September,2.73,4.14,1.63,1.24,0.88,1.61,3.14,2.34,0.03,3.20,,
October,0.66,1.25,1.65,1.24,5.47,1.95,1.60,2.36,2.19,7.30,,
November,3.39,5.53,1.03,4.16,0.55,1.17,1.79,1.60,3.65,3.80,,
December,1.68,2.43,0.97,2.02,1.38,2.17,1.84,3.43,3.16,3.43,,
Total,27.13,27.57,15.34,27.08,22.28,21.46,23.87,29.99,19.13,35.20,,
Calc annual,27.13,27.57,15.34,27.08,22.28,21.46,23.87,29.99,19.13,35.20,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
