ENFIELD-CARISBROOKE-HIGHER-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ317970,Long,-0.097505097,Lat,51.656366,Elevation,237,ft.,,,,,,,,,,,,
Station no,RR6178,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,1.49,0.79,2.39,2.95,,,,,,,,,
February,,,,,,,,2.59,1.17,1.78,4.33,,,,,,,,,
March,,,,,,,,3.52,1.12,0.57,0.72,,,,,,,,,
April,,,,,,,,1.66,1.53,2.53,0.84,,,,,,,,,
May,,,,,,,,1.86,2.49,1.17,1.12,,,,,,,,,
June,,,,,,,,2.54,1.78,2.29,2.31,,,,,,,,,
July,,,,,,,,1.45,0.62,1.56,1.03,,,,,,,,,
August,,,,,,,,3,1.36,0.52,2.07,,,,,,,,,
September,,,,,,,,3.21,0.3,3.03,0.9,,,,,,,,,
October,,,,,,,,0.66,3.3,1.99,1.83,,,,,,,,,
November,,,,,,,,1.16,1.63,3.83,2.02,,,,,,,,,
December,,,,,,,,2.9,2.22,1.25,2.99,,,,,,,,,
Total,,,,,,,,26.04,18.31,22.91,23.11,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Culloden Road on the corner with Rowantree Road. ,,,,,,,,,,,,,,,,,,,,
The observer lived on Culloden Road in 1899 and 1914 (Kelly's Directory).,,,,,,,,,,,,,,,,,,,,
The names in the titles are all linked Bycullah Park is the name of the estate and Carisbrooe as area.,,,,,,,,,,,,,,,,,,,,
The higher gauge is also higher above the ground so might be at roof level.,,,,,,,,,,,,,,,,,,,,
The lower gauge might be 200m to 300m N based on the relationship to the church.,,,,,,,,,,,,,,,,,,,,
