"JURA BAY OF SMALL ISLES",,,,,,,,,,,,
Grid ref,NR531692,Long,-5.946384,Lat,55.852593,,,,,,,
Station no,RR1596,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.40,,,,,,,,,,,
February,3.20,,,,,,,,,,,
March,0.80,,,,,,,,,,,
April,5.40,,,,,,,,,,,
May,4.00,,,,,,,,,,,
June,3.60,,,,,,,,,,,
July,5.50,,,,,,,,,,,
August,5.00,,,,,,,,,,,
September,6.00,,,,,,,,,,,
October,8.60,,,,,,,,,,,
November,7.70,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,59.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
