JURA BAY OF SMALL ISLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR531692,Long,-5.946384,Lat,55.852593,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,,,7,9.4,9,6,9.5,6.2,4.8,6.8,10,5,8.3,4.5,9,3.5,4.5,2,5,6.5,9.4,,,,,,,,,
February,,,,,,,,,,,,,6.3,7.5,6,6,2.5,5.2,3,5,1,1.2,3.6,8,10.2,0,5.4,4.5,9,3.5,3.2,,,,,,,,,
March,,,,,,,,,,,,,4,2,6.5,4.7,4.8,4.5,5,3.5,6,6.2,1.2,4.4,6,6.3,9.7,6,3,7.2,0.8,,,,,,,,,
April,,,,,,,,,,,,,4.5,3,1,2.1,2.7,4,3,2.3,1.5,1.8,1.8,3.2,2.2,3.7,4,3.5,4,7,5.4,,,,,,,,,
May,,,,,,,,,,,,,2.5,4,6.5,3.1,3.7,2.3,5,2.5,2,2.4,6,2.8,3.5,0,1,3.2,5,4.5,4,,,,,,,,,
June,,,,,,,,,,,,,6.1,5.3,1.4,4.6,2.5,2,5.2,1,7.5,1.8,4.5,7,3,1,4.2,8,5,2.3,3.6,,,,,,,,,
July,,,,,,,,,,,,,7.2,2,4,3.4,4,3.8,4.8,2,5.3,1.3,6.5,5,4.3,6,5.5,3.3,2.2,4.8,5.5,,,,,,,,,
August,,,,,,,,,,,,,3.5,7,6,3,4.5,4.2,6.4,7.2,5.1,7.3,5,5.3,4.2,8,4.3,6.2,7,4,5,,,,,,,,,
September,,,,,,,,,,,,,8.4,6.5,7,10,7.2,4,3.8,3.5,10,6.5,7.5,11.5,0,3,7.1,8.3,11,7.2,6,,,,,,,,,
October,,,,,,,,,,,,,4,9,7.5,7,5.5,2.5,2,5.5,8.3,6.1,5,9,3,2.5,5.9,3.1,6,5.5,8.6,,,,,,,,,
November,,,,,,,,,,,,,13,12.4,9,4,8.5,5,8.5,5.7,13,6.2,6,7,8,7.5,2.5,5,7.5,7,7.7,,,,,,,,,
December,,,,,,,,,,,,,8,10,10.5,7,8,7,7.6,11.4,1.5,9,5,9.2,7.7,10,7.7,8,9,10.1,,,,,,,,,,
Total,,,,,,,,93.9,65.6,58.6,59.9,65.8,74.5,78.1,74.4,60.9,63.4,50.7,59.1,56.4,71.2,54.8,60.4,76.9,61.1,51.5,61.8,61.1,73.7,69.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1893 Comment Total 10"" too much",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
