"DOUNE GARTINCABER",,,,,,,,,,,,
Grid ref,NN697008,Long,-4.100796,Lat,56.181955,,,,,,,
Station no,RR1783,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.91,2.59,3.05,6.25,3.49,1.73,4.96,2.52,4.21,5.11,,
February,3.38,1.11,1.68,6.65,3.57,2.16,2.84,2.67,2.59,2.00,,
March,0.38,1.74,2.05,7.08,1.82,4.34,2.93,4.03,4.15,2.27,,
April,3.01,2.64,0.95,1.47,4.76,2.25,1.74,2.18,0.84,4.23,,
May,2.77,1.84,2.21,2.14,4.00,2.33,5.39,4.06,2.85,4.06,,
June,4.91,3.53,2.38,3.12,1.99,0.69,1.88,4.80,2.41,2.16,,
July,3.87,2.80,3.17,5.18,2.66,2.50,2.09,3.08,3.16,2.65,,
August,3.55,3.36,4.03,6.06,5.23,5.36,5.25,6.15,4.54,2.83,,
September,3.09,3.03,3.51,3.43,4.07,2.08,1.97,1.71,6.50,1.82,,
October,6.18,3.59,2.19,9.90,2.00,3.40,5.83,5.28,1.08,6.05,,
November,6.64,2.99,3.26,1.88,1.55,4.17,4.16,2.67,3.09,1.75,,
December,6.91,4.65,5.28,3.22,4.74,4.07,2.84,5.50,3.23,5.60,,
Total,49.60,33.87,33.76,56.38,39.88,35.08,41.88,44.65,38.65,40.53,,
Calc annual,49.60,33.87,33.76,56.38,39.88,35.08,41.88,44.65,38.65,40.53,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
