HANDFORTH-CLARE-COTTAGE-2ND-POSITION,,,,,,,,,,
Grid ref,SJ857835,Long,-2.2162706,Lat,53.348195,Elevation,256,ft.,,
Station no,RR6199,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,3.19,2.28,5.34,,,,
February,,,,1.4,1.95,3.37,,,,
March,,,,3.91,4.76,1.63,,,,
April,,,,4.03,1.48,1.3,,,,
May,,,,2.95,2.52,1.82,,,,
June,,,,2.26,2.02,2.29,,,,
July,,,,1.51,4.17,4.37,,,,
August,,,,1.94,3.68,5.1,,,,
September,,,,1.15,3.53,0.67,,,,
October,,,3.55,1.78,1.97,1.6,,,,
November,,,2.52,3.11,3.86,1.76,,,,
December,,,3.74,2.57,5.66,6.31,,,,
Total,,,,29.8,37.88,35.56,,,,
,,,,,,,,,,
NGR is 50 yards W of church. Altitudes match.,,,,,,,,,,
Distance of move is less than 300 yards but generally distances appear smaller than quoted.,,,,,,,,,,
