HANDFORTH-CLARE-COTTAGE-1ST-POSITION,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ858834,Long,-2.2147639,Lat,53.347299,Elevation,260,ft.,,,,,,,,,,,,
Station no,RR6199,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,2.68,2.06,3.88,1.2,2.32,2.03,3.28,1.24,2.22,,,,,,,
February,,,,,3.12,1.73,3.55,1.53,3.15,1.57,2.31,2.28,0.85,,,,,,,
March,,,,,1.62,3.83,2.75,3.01,2.47,2.81,0.74,1.76,5.02,,,,,,,
April,,,,,1.92,2.38,2.08,1.18,2.09,2.84,3.59,2.86,0.53,,,,,,,
May,,,,,2.19,0.82,3.12,3.89,3.04,1.86,3.42,0.61,2.81,,,,,,,
June,,,,,1.23,2.34,1.88,4.27,1.74,2.91,2.53,4.09,4.27,,,,,,,
July,,,,,1.38,3.23,1.49,3.21,4.44,5.09,5.32,0.3,3.61,,,,,,,
August,,,,,4.94,4.35,2.94,4.65,3.3,3.43,5.54,2.96,6.71,,,,,,,
September,,,,,0.78,2.31,2.08,0.26,3.83,2.13,0.32,4.38,,,,,,,,
October,,,,,1.66,3.55,6.25,3.68,1.56,5.15,2.87,2.57,,,,,,,,
November,,,,,1.49,3.01,2.37,2.56,3.09,1.51,4.26,2.4,,,,,,,,
December,,,,,2.09,0.75,4.5,2.37,2.8,6.36,2.37,4.55,,,,,,,,
Total,,,,,25.1,30.36,36.89,31.81,33.83,37.69,36.55,30,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Clare Cottage, 14 Church Road. Altitudes match.",,,,,,,,,,,,,,,,,,,,
Gauge moved 300 yards W Sep 1912,,,,,,,,,,,,,,,,,,,,
