"DARFIELD (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SE421038,Long,-1.366368,Lat,53.529180,,,,,,,
Station no,3167,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.79,1.75,0.36,1.39,1.71,3.26,0.96,2.70,2.51,5.01,,
February,2.90,0.32,1.97,2.01,2.37,1.35,1.98,4.00,0.04,2.02,,
March,2.62,1.51,0.64,1.72,2.77,0.63,0.99,1.74,0.84,1.65,,
April,0.97,1.09,1.94,0.28,0.62,2.32,0.02,0.28,3.15,0.62,,
May,4.03,1.82,1.47,3.62,2.77,0.27,1.13,2.65,0.76,1.01,,
June,0.65,0.98,1.43,1.52,2.63,2.25,3.45,4.78,1.32,0.98,,
July,1.64,1.71,2.23,1.41,0.26,4.20,3.45,5.40,1.03,2.41,,
August,4.83,0.83,2.57,6.14,0.18,5.87,4.55,3.83,0.81,3.47,,
September,1.25,1.84,1.10,1.07,0.89,2.78,3.07,2.17,0.00,3.52,,
October,0.89,3.88,1.71,2.75,1.97,1.03,1.00,1.31,1.38,6.31,,
November,5.79,1.14,0.81,4.69,1.98,0.64,2.28,0.81,3.63,3.34,,
December,1.74,1.53,1.17,2.47,2.13,1.87,1.97,3.50,3.21,2.18,,
Total,29.10,18.40,17.40,29.07,20.28,26.47,24.85,33.17,18.68,32.52,,
Calc annual,29.10,18.40,17.40,29.07,20.28,26.47,24.85,33.17,18.68,32.52,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
