MARKET HARBORO FOXTON LOCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP691895,Long,-0.9825,Lat,52.4998,Elevation,393,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,0.12,0.95,3.34,1.78,1.08,1.49,1.1,0.96,2.33,1.8,0.83,1.92,1.09,1.92,4.04,2.24,1.87,0,3.49,4.2,1.08,1.18,1.35,0.52,2,2.44,0.87,2.04,1.6,2.42,1.94,2.56,1.06,0.82,2.9,1.13,1.67,2.63,1.16,2.93,1.33,1.09,0.36,0.22,1.74,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.02,1.18,1.75,1.09,1.25,1.99,2.18,0.65,0.61,1.24,3.53,1.46,1.59,0.4,1.09,1.27,2.68,1.2,2.15,1.47,1.26,1.27,1.86,2.29,0.68,0.11,1.39,1.57,2.27,1.34,1.23,1.51,1.14,0.97,1.53,0.5,1.68,1.22,1.98,1.35,1.18,2.26,1.95,2.47,1.4,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.24,1.52,0.09,1.04,3.69,0.78,2.69,1.08,1.17,0.77,3.59,1.26,0.24,2.43,0.33,0.79,0.56,0.93,2.66,2.32,1.59,1.98,1.59,2.43,2.56,0.44,2.22,0.81,1,1.72,2.01,0.66,0.8,0.61,1.29,1.72,0.42,0.55,2.27,1.27,0.38,0.6,1.26,1.14,0.97,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,0.94,1.75,0.73,1.09,0.37,2.05,0.16,1.43,3.33,1.33,1.78,2.34,2.15,1.27,1.04,1.27,1.31,1,2.36,2.3,2.64,1.03,1.14,1.1,2.31,1.26,1.2,0.36,1.57,1.8,1.07,0.99,0.38,2.92,2.18,0.58,0.84,0.91,2.08,2.26,1.69,1.88,1.11,1.4,3.49,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.82,0.54,3.03,1.6,3.71,5.2,0.34,3.66,1.74,3.26,0.46,1.96,2.99,2.36,0.84,1.29,1.98,1.64,2.55,1.31,0.57,1.32,2.7,1.64,2.03,0.74,1.52,1.99,1.47,1.76,0.43,3.59,0.79,0.69,1.9,1.89,1.19,1.81,0.21,2.05,5.07,2.22,1.59,1.09,1.05,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.13,4.49,1.53,2.22,1.44,3.72,1.26,2.92,1.15,2.76,4.44,2.37,0.73,3.34,2.6,4.09,1.45,1.38,1.62,1.73,2.07,2.04,5.69,2.15,3.04,2.45,0.86,1.79,1.76,1.89,0.37,1.23,0.39,3.58,4.38,3.94,0.77,5.51,1.73,0.81,1.97,4.32,2.87,1.82,3.26,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.49,3.41,2.41,3.03,2.02,2.75,2.71,2.23,2.28,0.77,2.41,3.32,4.25,3.24,1.53,4.47,3.05,5.91,1.84,2.43,0.95,0.91,1.74,2.47,1.99,0.37,0.36,3.58,2.46,1.6,0.05,0.64,1.02,3.57,4.47,1.7,0.32,6.19,0.66,2.79,0.84,2.99,8.11,1.99,3.19,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,1.89,2.28,1.78,3.39,2.02,2.03,3.24,3.86,4.75,1.69,2.72,1.71,2.26,2.48,4.13,3.37,1.27,1.6,3.46,4.87,1.67,1.62,2.6,0.13,2.54,1.04,0.47,4.95,4.44,2.76,3.51,0.85,1.94,0.38,2.95,2.9,1.96,2.36,2.57,3.54,4.87,3.58,1.16,3.88,1.37,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.93,2.03,1.26,3.78,3.56,0.87,2.58,1.64,1.07,2.23,4.71,4.75,1.94,1.26,2.55,1.54,1.65,1.59,3.22,2.65,1.41,2.82,3.39,1.65,2.54,1.44,1.65,0.11,5.06,1.56,2.39,2.47,1.33,3.93,1.69,1.04,2.88,2.97,4.19,1.19,2.18,3.15,4.65,2.49,1.66,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.09,1.87,0.75,3.69,1.86,3.74,2.38,1.52,4.17,4.32,5.48,2.18,1.66,2.83,2.33,3.75,1.35,4.38,3.42,1.17,2.05,2.1,2.56,1.25,2.82,2.54,1.83,4.54,1.74,1.88,1.9,0.77,2.95,1.06,3.16,1.64,2.24,4.96,1.68,1.01,2.25,0.52,6,2.79,4.69,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
