ALSTON (LAWN COTTAGE),,,,,,,,,,
Grid ref,NY720463,Long,-2.43718,Lat,54.810773,Elevation,1030,ft,,
Station no,SN 3658/9/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.42
February,,,,,,,,,,4.03
March,,,,,,,,,,1.89
April,,,,,,,,,,2.7
May,,,,,,,,,,2.38
June,,,,,,,,,,1.67
July,,,,,,,,,,4.18
August,,,,,,,,,,4.89
September,,,,,,,,,1.18,2.66
October,,,,,,,,,5.31,5.96
November,,,,,,,,,6.65,6.4
December,,,,,,,,,6.44,5.79
Total,,,,,,,,,,47.97
,,,,,,,,,,
1775,ALSTON ,01/01/1959,31/12/1969,,,,,,,
,,,,,,,,,,
1959Jan and Augus removed as -100s transcribed originally,,,,,,,,,,
