"COLINSBURGH, CAIRNIE HOUSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO4849203404,Long,-2.83218,Lat,56.2204,Elevation,125,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.16,1.22,2.38,1.84,3.41,1.71,4.64,1.12,2.19,2.78,1.52,2.01,1.44,0.71,3.47,1.98,3.07,3.94,1.64,2.48,3.18,3.12,1.33,4.51,1.37,2.58,,,
February,,,2.09,3.64,0.57,3.79,3.77,1.23,1.52,1.32,0.75,1.54,0.18,1.59,0.15,1.65,2.89,2.68,0.49,1.87,0.86,3.82,1.37,0.88,0.91,2.23,0.82,1.74,,,
March,,,2.08,0.86,0.92,2.06,1.14,2.26,2.39,0.4,2.01,1.13,3.08,0.97,3.1,1.31,2.63,1.98,0.74,2.52,2.76,2.22,1.95,0.92,0.37,1.21,2.42,4.32,,,
April,,,1.73,2.17,1.2,3.07,1.91,1.14,1.21,2.04,2.25,2.27,1.72,2.08,4.1,2.72,0.72,1.21,0.04,1.15,1.52,1.5,1.07,0.97,2.1,1.44,0.5,2.37,,,
May,,,1.26,1.45,4.46,4.04,2.07,2.16,1.35,1.97,1.53,2.81,2.46,1.35,1.83,0.82,1.01,2.42,3.95,0.87,1.39,1.8,2.56,4.17,1.77,4.02,1.97,4.15,,,
June,,,1.78,1.05,1.84,0.65,3.43,2.44,4.27,1.51,1.59,4.81,1,1.65,2.18,2.88,1.22,1.78,2.98,1.65,0.42,0.78,0.88,1.8,2.42,2.1,2.65,2.71,,,
July,,,3.99,1.32,5.11,2.12,2.8,3.33,1.53,3.6,2.39,7.55,2.52,2.62,2.63,0.95,3.12,3.15,3.68,3.2,5.13,2.81,2.86,2.82,2.26,3.1,3.64,2.16,,,
August,,,1.61,4.32,2.61,2.45,2.38,5.68,5.25,3.86,4.65,3.79,0.32,0.82,2.92,1.69,1.5,3.33,2.76,1.54,0.92,3.44,2.03,4.92,2.38,3.61,3.12,0.43,,,
September,,,2.35,2.18,4.53,3.59,4.3,5.6,2.44,0.72,4.24,1.57,2.03,2.19,2.53,3.19,3.39,1.68,2.55,1.53,2.11,0.91,2.21,2.47,3.3,3.35,3.43,1.32,,,
October,,,2.38,1.76,4.03,2.42,4.52,3.85,3.05,2.14,3,1.35,6.08,2.26,2.25,4.05,1.36,2.67,3.78,2.34,3.23,2.95,1.91,2.23,2.31,3.95,0.64,1.43,,,
November,,,1.59,2.47,1.5,0.97,4.07,1.82,3.23,3.34,3.2,6.11,1.33,1.57,1.04,3.65,2.07,0.39,3.53,3.38,4.44,2.76,0.45,0.94,4.55,0.72,5.34,1.85,,,
December,,,2,2.46,2.55,2.18,0.31,2.15,2.24,2.94,1.85,0.63,3.67,1.04,3.29,1.66,1.73,3.93,2.2,0.95,1.59,0.66,1.54,1.04,2.19,2.45,2.38,1.64,,,
Total,,,25.02,24.9,31.7,29.18,34.11,33.37,33.12,24.96,29.65,36.34,25.91,20.15,27.46,25.28,25.11,27.2,29.77,24.94,26.01,26.13,22.01,26.28,25.89,32.69,28.28,26.7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,886415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
