DARLINGTON CLEVELAND PARADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ281140,Long,-1.567406,Lat,54.52052,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,1.53,2.12,0.53,3.64,2.24,1.27,0.36,0.96,1.08,2.68,3.61,1.98,3.57,1.96,0.63,0.9,2.12,1.01,1.43,1.74,1.6,3.82,0.95,1.75,0.92,2.45,3.06,1.28,0.8,2.36,1.93,0.41,3.13,0.57,0.99,0.82,2.4,1.28,2.67,3.58,1.65,2.17,0.47,3.35,,
February,,,,,1.44,0.97,1.95,1.37,1.14,3.29,1.68,3.75,0.71,2.05,1.05,1.28,0.71,0.71,1.2,1.17,1.11,0.04,2.23,2.21,2.79,0.99,0.49,1.81,1.32,1.55,5.38,1.29,1.05,1.22,1.98,0.77,1.2,1.3,1.59,1.17,2.45,0.95,1.77,0.73,1.15,2.46,2.63,0.89,,
March,,,,,0.91,0.39,2.69,2.09,0.79,1,1.06,3.14,1.69,1.61,2.5,1.79,2.35,1.79,3.55,2.79,1.67,1.38,0.85,0.28,0.75,2.09,1.89,2.66,1.86,1.26,1.43,2.34,0.77,2.29,2.04,1.58,1.21,0.77,3.67,4.26,0.62,2.05,2.1,2.5,1.97,1.09,4.12,2.34,,
April,,,,,0.57,0.86,2.01,4.33,2.46,1.96,2.22,1.19,4.4,1.96,1.88,1.69,2.01,0.89,2.42,2.32,0.9,2.76,1.11,0.47,1.65,1.78,0.74,2.03,2.43,2.65,1.36,1.22,1.2,1.83,1.25,2.74,0.85,1.97,2.59,2.06,2.08,1.27,0.06,3.32,0.55,0.77,0.85,1.84,,
May,,,,,0.63,0.88,1.21,1.9,3.6,1.19,1.64,1.11,1.8,1.68,0.45,2.91,4.27,1.79,0.55,2.18,2.3,1.98,3.09,2.11,2.55,0.86,0.67,1.7,1.79,3.53,1.39,1.23,2.35,3.95,3.35,0.83,3.19,3.8,2.34,1.37,2.34,1.48,2.19,1.76,1.29,1.91,3.27,1.11,,
June,,,,1.09,2.95,3.25,2.5,1.32,2.39,4.04,1.44,1.97,4.79,3.11,0.61,2.14,0.9,0.57,2.27,0.21,2.64,0.53,3.4,0.78,3.56,1.77,3.08,2.42,2.53,1.7,2.45,1.64,1.82,2.04,2.08,1.3,0.89,3.08,1.1,2.09,2.01,3.17,6.4,0.82,3.29,0.22,2.32,1.68,,
July,,,,0.95,1.49,6.52,2.42,3.48,0.82,2.74,5.31,3.83,4.09,3.87,3.91,0.59,4.64,1.25,3.79,2.29,2.15,4.1,1.27,2.37,1.81,5.54,2.38,1.06,0.92,2.09,1.39,3.58,2.43,4.25,1.88,0.81,1.85,2,2.85,2.44,3.09,0.53,3.77,0.54,2.81,3.63,2.42,1.04,,
August,,,,2.1,2.76,2.25,1.34,5.32,4.59,2.77,1.5,6.59,2.51,0.64,1.05,1.81,1.48,1.79,1.73,3.14,4.32,3.61,3.92,1.89,2.32,2.13,1.44,2.74,2.19,1.22,5.76,1.2,1.78,1.79,2.67,3.72,2.23,1.69,1.33,4.16,2.6,2.02,4.92,1.34,1.49,2.4,2.51,5.43,,
September,,,,1.77,1.82,2.63,3.02,1.84,1.43,1.08,4.46,3.17,2.5,2.82,1.16,1.98,1.86,2.6,1.18,0.46,2.34,1.79,2.06,1.45,0.68,0.78,3.28,1.8,0.3,3.01,0.74,1.07,0.73,2.53,1.62,2.4,0.41,0.42,2.03,1.87,0.27,2.25,2.08,2.84,1.74,0.86,1.86,0.78,,
October,,,,1.89,2.07,3.86,1.51,2.86,1.74,0.55,5.22,2.81,3.67,1.93,1.25,3.68,4.11,1.67,0.41,4.15,1.44,2.98,4.13,0.95,4.32,3.54,3.69,1.84,3.22,2.52,5.06,1.79,3,7.5,0.76,1.65,4.06,4.6,1.52,2.1,2.19,2.58,2.16,2.3,2.13,0.96,2.68,1.86,,
