"GLEN TANAR (MANSION HOUSE)",,,,,,,,,,,,
Grid ref,NO474958,Long,-2.868661,Lat,57.050252,,,,,,,
Station no,5629/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.27,2.14,1.17,2.32,1.69,4.83,4.07,3.44,2.33,7.51,,
February,6.51,1.02,1.41,4.89,3.88,2.02,4.15,4.97,0.28,4.85,,
March,2.95,3.73,0.29,3.76,2.02,2.48,2.47,5.45,1.84,2.23,,
April,2.67,1.31,3.87,1.49,0.47,2.34,1.50,2.33,3.05,2.35,,
May,1.22,2.59,1.79,4.38,2.99,0.41,2.86,3.36,1.35,0.89,,
June,1.72,2.90,3.39,1.88,0.82,4.55,1.97,3.56,3.75,1.19,,
July,3.97,1.64,4.00,2.53,0.88,6.64,9.24,6.25,2.57,2.43,,
August,4.01,3.86,1.54,3.55,0.41,4.88,5.11,3.93,1.45,6.57,,
September,1.80,1.29,3.43,1.68,1.87,6.53,1.95,2.83,0.76,4.02,,
October,1.02,5.25,1.43,5.57,2.83,2.46,0.80,1.99,3.84,11.11,,
November,11.37,3.20,3.10,8.07,2.55,1.58,1.98,0.66,7.76,6.03,,
December,3.28,3.04,3.52,5.79,7.63,7.30,6.46,6.55,8.03,2.12,,
Total,43.79,31.97,28.94,45.91,28.04,46.02,42.56,45.32,37.01,51.30,,
Calc annual,43.79,31.97,28.94,45.91,28.04,46.02,42.56,45.32,37.01,51.30,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
