GLEN TANAR (MANSION HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO474958,Long,-2.868661,Lat,57.050252,Elevation,553,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5629/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.95,1.5,6.85,14.27,5.02,4.01,1.49,5.78,4,5.55,1.9,5.94,2.85,6.34,6.29,1.31,1.89,3.27,2.14,1.17,2.32,1.69,4.83,4.07,3.44,2.33,7.51
February,,,,0.6,2.26,4.86,3.48,1.3,3.8,1.52,4.68,2.54,1.92,2.19,1.77,1.95,3.58,2.56,1.38,3.6,6.51,1.02,1.41,4.89,3.88,2.02,4.15,4.97,0.28,4.85
March,,,,3.98,1.63,2.07,5.05,0.37,3.43,2.63,1.77,1.45,0.88,1.06,0.39,3.4,5.2,2.13,1.63,2.44,2.95,3.73,0.29,3.76,2.02,2.48,2.47,5.45,1.84,2.23
April,,,,8.14,5.31,0.97,1.49,0.57,1.15,1.7,2.95,1.86,1.67,1.47,1.53,0.43,4.89,1.47,1.82,2.15,2.67,1.31,3.87,1.49,0.47,2.34,1.5,2.33,3.05,2.35
May,,,0.68,3.82,2.04,2.1,2.1,2.87,1.28,1.54,3.09,3.24,3.62,3.4,4.56,2.71,5.36,4.06,2.14,2.5,1.22,2.59,1.79,4.38,2.99,0.41,2.86,3.36,1.35,0.89
June,,,1.15,1.57,3.81,1.4,1.39,2.94,2.09,1.41,0.98,1.08,1.71,2.15,3.16,3.56,2.5,4.5,1.63,0.59,1.72,2.9,3.39,1.88,0.82,4.55,1.97,3.56,3.75,1.19
July,,,2.15,2.99,0.77,6.55,4.94,4.93,5.89,8.79,3.49,2.39,1.36,2.81,2.62,4.61,2.23,2.83,3.58,4.02,3.97,1.64,4,2.53,0.88,6.64,9.24,6.25,2.57,2.43
August,,,0.69,3.99,2.52,1.39,2.4,2.14,2.69,1.15,3.16,2.58,3.61,1.15,4.5,5.23,0.12,8.22,3.56,3.35,4.01,3.86,1.54,3.55,0.41,4.88,5.11,3.93,1.45,6.57
September,,,2.43,2.56,3.33,2.14,0.6,3.13,2.71,1.03,0.88,3.47,3.23,4.42,3.36,5.65,2.29,1.72,2.15,6.2,1.8,1.29,3.43,1.68,1.87,6.53,1.95,2.83,0.76,4.02
October,,,7.92,3.75,4.02,1.08,3.57,3.93,8.59,5.5,4.21,3.76,3.17,5.93,5.55,0.43,2.74,2.08,3.08,1.23,1.02,5.25,1.43,5.57,2.83,2.46,0.8,1.99,3.84,11.11
November,,,4.82,2.14,6.3,2.64,0.99,4.23,4.49,6.52,8.16,0.7,2.48,5.32,2.1,9.4,3.5,0.41,3.4,4.37,11.37,3.2,3.1,8.07,2.55,1.58,1.98,0.66,7.76,6.03
December,,,1.92,8.9,2.95,3.78,4.79,5.08,1.95,2.97,1.31,3.77,1.51,4.29,9.3,4.81,2.12,6.47,2.74,2.88,3.28,3.04,3.52,5.79,7.63,7.3,6.46,6.55,8.03,2.12
Total,,,,44.39,36.44,35.83,45.07,36.51,42.08,36.25,40.46,30.84,30.71,36.09,44.78,45.03,40.87,42.74,28.42,35.22,43.79,31.97,28.94,45.91,28.04,46.02,42.56,45.32,37.01,51.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspection 22/04/1958  G. Quite good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measuring Glass is inaccurate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Readings may be 1"" to 2"" high annually",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This glass has been in use for at least 19 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A new glass has been ordered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed in BR 1959-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5629/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,846334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
