PORT TALBOT (ABERAVON),,,,,,,,,,,,
Grid ref,SS761902,Long,-3.790183,Lat,51.596977,,,,,,,
Station no,4068/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,5.10,1.78,3.84,3.33,5.51,3.35,3.55,3.99,,,
February,,0.40,3.02,5.12,2.95,0.98,4.98,5.68,0.27,,,
March,,4.67,2.69,3.49,2.23,1.58,5.12,0.93,3.50,,,
April,,3.70,3.35,1.38,2.94,1.74,0.49,0.64,3.01,,,
May,,4.13,3.12,2.50,4.54,1.25,2.04,4.24,0.38,,,
June,0.96,2.54,2.46,4.97,5.75,2.57,0.96,5.40,3.37,,,
July,1.42,2.06,5.66,5.57,0.79,3.88,3.84,4.13,2.50,,,
August,8.98,7.16,6.31,5.13,0.84,5.99,4.63,5.35,1.05,,,
September,4.36,2.81,4.39,5.40,2.63,5.32,7.46,8.57,0.39,,,
October,0.98,3.97,4.70,7.58,2.25,1.15,4.44,4.90,4.15,,,
November,8.60,4.25,4.43,9.74,4.15,1.36,2.07,3.33,7.47,,,
December,4.74,4.52,1.36,4.70,7.78,4.28,2.04,5.34,7.81,,,
Total,,45.31,43.27,59.42,40.18,35.61,41.42,52.06,37.89,,,
Calc annual,30.04,45.31,43.27,59.42,40.18,35.61,41.42,52.06,37.89,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
