FAIRFORD-MARSTON-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU131992,Long,-1.8118834,Lat,51.691403,Elevation,325,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.09,4.41,3.41,4.67,0.62,3.47,1.74,2.88,1.8,2.18,0.65,3.28,3.88,3.52,5.17,2.76,2.77,2.94,,,,,,,,
February,,,,,,3.31,2.08,3.4,2.49,1.01,0.64,1.25,0.05,3.29,0.24,2.26,2.13,4.52,0.89,1.27,2.31,2.64,0.58,,,,,,,,
March,,,,,,0.24,0.78,2.82,2.4,0.15,1.97,0.21,2.16,2.81,1.89,0.55,2.12,2.82,0.21,1.83,2.47,2.25,2.47,,,,,,,,
April,,,,,,1.53,2.34,1.63,0.97,0.95,2.53,3.22,2.4,1.13,2.11,3.96,1.55,3.19,0.06,3.87,2.06,1.07,0.81,,,,,,,,
May,,,,,,3.63,3.71,1.24,0.88,2.46,1.26,4.87,4.78,1.23,0.75,1.61,0.88,2.19,2.39,1,1.15,1.5,4.3,,,,,,,,
June,,,,,,0.14,2.05,3.34,3.03,1.2,1.53,3.16,0.78,1.89,1.89,3.65,2.68,1.36,1.36,2,0.61,1.9,0.2,,,,,,,,
July,,,,,,2.96,2.07,4.46,2.17,1.08,2.62,3.55,2.55,1.79,1.12,0.74,4.87,2.44,1.84,4.55,3.18,2.42,2.18,,,,,,,,
August,,,,,,3.94,1.26,3.69,2.82,2.14,2.07,4.01,1.58,1.28,1.52,2.09,0.2,0.66,4.5,2.02,0.06,4.52,3.9,,,,,,,,
September,,,,,,3.34,1.2,5.67,1.02,0.52,3.57,1.65,2.82,2.45,2.73,5.33,3.91,1.66,3.72,1.22,1.11,0.88,1.63,,,,,,,,
October,,,,,,3.2,2.61,1.57,4.74,4.27,1.84,0.67,5.2,2.49,1.79,4.88,1.77,3.6,3.79,4.32,2.97,1.98,3.71,,,,,,,,
November,,,,,,1.81,5.7,2.41,3.09,6.7,3.48,3.32,2.14,0.82,1.47,5.82,2.83,1.6,2.94,5.32,7.2,2.84,1.88,,,,,,,,
December,,,,,,3.02,0.31,2.63,2.78,6.2,3.42,1.36,0.72,0.57,6.13,3.26,2.91,2.29,2.68,2.06,1.27,1.74,3.5,,,,,,,,
Total,,,,,,29.21,28.52,36.27,31.06,27.3,28.4,29.01,28.06,21.55,23.82,34.8,29.13,30.21,27.9,34.63,27.15,26.51,28.1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TYRain_1920-1930_09_pt1-page-355.csv not used as a copy of A1

TYRain_1920-1930_10_pt1-page-003.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation estimated fro OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
