"LITTLETON RESERVOIR (QUEEN MARY RES)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,832,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,3.26,1.02,2.88,
February,,,,,,,,,1.51,0.44,0.65,
March,,,,,,,,,1.34,0.05,1.12,
April,,,,,,,,,1.16,1.05,1.28,
May,,,,,,,,,2.00,1.55,2.48,
June,,,,,,,,,2.29,1.07,0.98,
July,,,,,,,,,1.98,0.88,1.65,
August,,,,,,,,,2.17,1.71,3.04,
September,,,,,,,,4.46,1.05,0.13,2.61,
October,,,,,,,,1.19,3.73,2.80,0.96,
November,,,,,,,,2.85,1.67,5.52,3.82,
December,,,,,,,,3.84,2.19,5.05,1.92,
Total,,,,,,,,,24.35,21.27,23.39,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.34,24.35,21.27,23.39,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,
