WATFORD-WEETWOOD (Monthly Gauge),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ106974,Long,-0.402266,Lat,51.664505,Elevation,269,ft,,,,,,,,,,,,
Station no,RR4138,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.92,2.8,3.12,1.15,4.43,1.04,1.64,0.7,2.1,1.26,4,3.22,0.79,3.78,1.72,1.7,3.08,4.3
February,,,1.38,0.97,3.4,0.82,2.37,1.43,1.51,0.49,3.59,1.68,1.98,0.78,3.2,4.49,4.05,0.97,1.13,3.1
March,,,1.61,3.45,1.49,3.35,1.47,0.99,3.12,3.26,1.15,1.81,3.56,2.53,4.87,1.12,4.87,1.83,0.77,4.08
April,,,0.82,1.94,1.05,2.24,0.47,2.93,3.05,2.2,1.45,1.75,0.06,3.1,0.77,1.08,1.28,2.06,4.45,3.32
May,,,2.15,2.78,2.64,0.77,1.59,2.07,1.69,1.22,2.43,4.54,1.5,1.6,1.83,2.4,2.09,1.68,2.12,0.45
June,,,3.53,5.85,0.99,3.6,2.78,2.02,1.92,3.78,3.27,2.03,2.4,0.39,1.69,1.85,2.24,3.08,1,1.45
July,,,1.45,3.86,3.61,1.13,1.68,4.25,3.25,2.81,2.1,0.57,1.69,1.55,2.22,5.2,1.53,4.02,3.61,1.93
August,,,4.22,3.78,2.1,2.41,1.13,1.96,2.95,2.32,2.75,1.61,5.52,0.86,1.15,2.03,4.05,5.22,1.19,
September,,,1.04,2.41,1.57,1.65,1.6,0.55,1.65,2.15,0.58,1.35,2.77,1.1,1.22,2.54,1.69,1.67,5.58,
October,,,1.69,7.47,1.46,1.44,4.98,5.27,2.54,4.73,3.19,3.26,2.66,3.25,2,2.6,3.1,4.98,1.63,0.82
November,,,1.95,1.74,1.59,3.24,4.02,2.73,0.81,0.7,3.4,3.3,2.05,2.75,2.6,2,4.3,1.52,2.35,
December,,,1.47,2.47,2.26,1.07,2.78,3.54,2.3,2.94,5.1,6.32,3.1,1.01,7.75,5.69,3.22,0.83,2.57,
Total,,,22.23,39.52,25.28,22.87,29.3,28.78,26.43,27.3,31.11,29.48,31.29,22.14,30.09,34.78,34.14,29.56,29.48,
