LEEDS-GREAT-GEORGE-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE298338,Long,-1.549045,Lat,53.799655,Elevation,180,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,3279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.05,,2.23,1.8,3.14,3.15,3.35,3.24,1.4,1.9,1.99,2.51,1.87,5.41,1.74,3.72,1.77,1.4,1.87,,,,,,,
February,,,,,,2.84,,0.47,2.42,1.82,1.49,0.1,2.57,4.15,0.88,3.56,2.28,1.04,2.21,0.43,0.63,2.04,0.24,4.6,,,,,,,
March,,,,,,0.85,,1.91,1.22,3.75,1.71,1.12,1.77,1.48,1.16,0.7,0.68,1.89,2.34,0.3,2.6,0.52,1.44,1.86,,,,,,,
April,,,,,,0.8,,1.66,1.04,1.28,3.24,1.34,2.51,2,1.37,3.06,1.12,2.17,0.67,0.98,2.42,2.9,2.44,1.08,,,,,,,
May,,,,,,1.32,,2.34,2.92,1.16,2.45,1.19,0.91,3.07,3.29,3.72,2.55,1.88,1.9,1.35,1.72,2.55,4.68,2.87,,,,,,,
June,,,,,,1.44,,1.2,1.03,0.8,1.43,0.01,1.44,0.66,1.69,0.07,2.91,2.15,4.13,0.7,1.12,5.02,0.31,1.06,,,,,,,
July,,,,,,3.38,,0.84,4.4,2.59,5.82,0.44,3.69,4.32,2.63,0.7,2.87,4.77,0.38,2.07,5.24,2.26,3.24,2.09,,,,,,,
August,,,,,,2.65,,4.94,1.96,1.95,1.67,3.67,4.53,2.31,2.54,2.13,2.75,6.24,3.93,1.85,3.23,3.75,0.96,0.53,,,,,,,
September,,,,,,0.58,,0.62,6.15,0.7,1.21,0.86,2.43,2.19,2.3,2.84,1.17,3.21,0.18,0.45,3.23,3.8,1.74,1.53,,,,,,,
October,,,,,,0.98,,3.51,1.45,2.4,1.92,1.84,0.88,2.4,2.9,3.01,2.34,2.45,4.37,2.45,2.65,1,3.22,3.44,,,,,,,
November,,,,,,1.92,,1.28,1.08,1.66,1.07,2.56,1.42,2.79,2.14,1.98,4.03,2.77,3.7,4.15,3.4,4.24,1.59,1.99,,,,,,,
December,,,,,,6.12,,1.53,4.34,3.65,2.66,3.11,3.44,3.46,2.72,3.88,0.8,1.98,1.42,4.87,2.11,0.77,0.89,0.42,,,,,,,
Total,,,,,,25.93,,22.53,29.81,24.9,27.82,19.59,28.83,30.23,25.52,27.64,26.01,32.42,30.64,21.34,32.07,30.62,22.15,23.34,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR assumed to be Municipal Buildings, now Central Library, where the observer, G C Henzell, Civil Engineer, was based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stated altitude is 40 ft. too high unless gauge is on the roof of a building.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220m from LEEDS-PHILOSOPHICAL-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
