"INCHBANK PARK, PERTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 122 240,Long,-3.423982,Lat,56.4004,Elevation,24,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,5.21,4.45,6.04,4.82,4.74,2.01,1.77,4.48,4.5,2.15,6.16,1.93,4.38,2.82,1.16,3.96,1.06,,,,,,,,
February,,,,,,4.95,3.53,1.88,3.46,1.8,2.25,3.25,3.38,1.06,0.59,0.8,4.2,2.17,0.07,1.77,3.42,2.08,,,,,,,,
March,,,,,,2.81,2.72,2.48,2.65,1.85,0.5,1.73,2.3,0.94,2.05,2,3.86,1.66,0.08,2.43,2.54,1.18,,,,,,,,
April,,,,,,2.3,1.4,3.13,2.5,1.5,0,4.6,1.1,0,1.55,1.15,4.45,2.61,2.8,2.45,3.68,0.36,,,,,,,,
May,,,,,,4.36,0.9,4.05,2.7,0.9,1.8,1,3.6,2.7,2,0.95,0.5,2.6,4.1,3.1,0.83,2.82,,,,,,,,
June,,,,,,1.19,1.51,1.57,0.6,2.75,1.3,2.25,4.2,1.1,0.6,2.15,3.1,3.45,2.8,4.05,1.88,1.9,,,,,,,,
July,,,,,,2.1,3.33,4.29,0.2,1.05,1,4.5,3.05,3.5,2.65,1.75,2.34,2.85,0.16,6,4.45,3.94,,,,,,,,
August,,,,,,4.54,7.12,3.59,4.38,1.8,1.38,2.6,3.36,3,3.75,2.53,2.8,4.63,3.64,7.2,1.09,4.56,,,,,,,,
September,,,,,,1.98,3.74,2.11,2.35,4.84,2.41,2,4.4,2.9,3.1,3.5,3.3,2.17,2.66,2.01,3.16,2.73,,,,,,,,
October,,,,,,6.3,1.96,2,2.18,2.95,2.08,3.1,4.05,3.66,2.9,6.44,3.4,4.5,3.45,1.5,0.81,3.96,,,,,,,,
November,,,,,,4.52,1.68,0.33,3.25,1.15,1.85,1.58,6.52,2,3.7,5.1,4.01,3.75,1.34,1.08,2.76,4.4,,,,,,,,
December,,,,,,2.17,2.62,1.38,5.5,3.56,3.56,1.75,4.3,2.96,1.02,4.16,4.9,2.16,0.19,0.28,2.72,2.49,,,,,,,,
Total,,,,,,42.43,34.96,32.85,34.59,28.89,20.14,30.13,44.74,28.32,26.06,36.69,38.79,36.93,24.11,33.03,31.3,31.48,,,,,,,,
