"BUCKLAND BREWER (THE COTTAGE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1858,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,7.61,5.83,4.36,3.15,4.43,3.43,7.50,7.85,9.01,1.81,6.88,
February,2.19,0.30,5.63,8.00,1.27,7.86,3.12,3.69,4.50,1.79,1.60,
March,4.04,3.77,4.54,1.74,2.28,1.27,0.85,5.09,4.93,1.01,2.86,
April,6.12,1.01,4.63,3.03,3.71,2.69,1.99,2.65,2.00,1.22,2.39,
May,2.71,1.84,1.42,2.72,3.82,4.75,2.26,1.19,1.54,4.00,2.27,
June,3.42,0.17,1.87,1.22,1.96,0.03,3.01,3.05,3.52,2.87,1.06,
July,6.23,1.30,3.54,3.88,4.34,4.39,2.04,6.16,2.61,3.58,4.59,
August,2.32,3.65,3.65,3.30,6.36,3.60,3.72,6.33,3.83,4.12,4.61,
September,4.11,2.50,2.89,4.19,5.99,4.27,2.48,9.21,2.14,0.74,5.63,
October,5.81,1.87,2.03,7.11,6.27,5.38,4.13,3.39,9.74,8.77,7.15,
November,3.00,3.35,2.24,5.26,3.75,4.72,10.55,4.95,5.27,12.16,4.99,
December,4.72,4.26,7.04,5.52,6.45,5.15,1.15,3.12,6.52,9.09,4.54,
Total,52.28,29.85,43.84,49.12,50.63,47.54,42.80,56.68,55.61,51.16,48.57,
Calc annual,52.28,29.85,43.84,49.12,50.63,47.54,42.80,56.68,55.61,51.16,48.57,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
