BUCKLAND-BREWER-THE-COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS419206,Long,-4.2524,Lat,50.9634,Elevation,469,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,7.18,2.44,5.25,3.01,2.19,5.96,5.53,7.61,5.83,4.36,3.15,4.43,3.43,7.5,7.85,9.01,1.81,6.88,4.88,4.79,4.06,4.8,1.36,5.22,5.32,6.33,6.15,3.34,3.8,5.6,7.15,4.32,3.76,5.58,4.35,,,
February,,,,1.81,4.42,6.76,7.47,1.15,2.86,2.25,2.19,0.3,5.63,8,1.27,7.86,3.12,3.69,4.5,1.79,1.6,3.56,0.04,2.69,0.37,4.67,2.78,7.28,1.61,2.81,4.11,4.61,0.47,3.11,1.18,5.47,4.62,0.28,,,
March,,,,5.69,6.31,1.12,3.35,3.06,1.63,5.17,4.04,3.77,4.54,1.74,2.28,1.27,0.85,5.09,4.93,1.01,2.86,1.38,2.58,3.54,3.12,1.55,2.46,3.93,0.57,1.96,3.43,3.6,3.08,1.68,0.59,2.27,1.41,7.98,,,
April,,,,6.23,2.15,1.83,1.54,2.69,2.44,3.01,6.12,1.01,4.63,3.03,3.71,2.69,1.99,2.65,2,1.22,2.39,3.03,2.86,1.97,3.11,5.23,2.88,4,0.3,2.29,3.53,1.08,2.17,1.49,2.9,1.99,2.52,3.36,,,
May,,,,2.92,1.9,4.1,2.44,1.41,1.15,1.68,2.71,1.84,1.42,2.72,3.82,4.75,2.26,1.19,1.54,4,2.27,3.53,3.62,2.82,1.86,1.82,1.15,2.58,2.7,1,1.36,2.42,5.79,4.66,1.25,4.45,4.38,3.04,,,
June,,,,2.32,1.95,1.75,2.82,5.37,1.67,1.52,3.42,0.17,1.87,1.22,1.96,0.03,3.01,3.05,3.52,2.87,1.06,3.88,1.04,1.85,2.34,3.76,4.19,1.9,2.11,1.94,0.82,1.5,0.3,1.69,4.12,3.72,4.88,4.1,,,
July,,,,0.74,3.8,4.61,0.8,2.73,5.7,1.57,6.23,1.3,3.54,3.88,4.34,4.39,2.04,6.16,2.61,3.58,4.59,5.54,3.62,2.56,0.83,1.07,6.83,1.92,3.07,6.17,6.92,1.68,3.34,3.45,2.73,5.69,3.13,3.15,,,
August,,,,1.23,5.28,2.06,3.9,5.72,3.17,3,2.32,3.65,3.65,3.3,6.36,3.6,3.72,6.33,3.83,4.12,4.61,5.42,3.19,1.68,5.05,3.61,0.92,1.34,5.78,3.95,0.52,5.88,3.8,5.25,3.88,2.53,7.11,0.45,,,
September,,,,2.08,3.09,1.62,2.33,2.51,10.15,2.14,4.11,2.5,2.89,4.19,5.99,4.27,2.48,9.21,2.14,0.74,5.63,2.12,5.73,2.01,3.9,5.46,2.93,4.68,1.47,0.91,2.89,0.39,4.74,6.71,5.16,3.13,6.38,2.15,,,
October,,,,4.35,2.58,4.03,6.54,8.28,2.77,2.13,5.81,1.87,2.03,7.11,6.27,5.38,4.13,3.39,9.74,8.77,7.15,1.26,10.53,6.09,4.62,8.71,2.56,2.79,7.14,4.09,4.52,3.85,3.96,4.1,7.47,5.29,1.87,2.39,,,
November,,,,6.75,5.49,3.03,5.96,4.13,3.64,5.17,3,3.35,2.24,5.26,3.75,4.72,10.55,4.95,5.27,12.16,4.99,8.21,3.59,1.76,2.92,6.26,6.62,2.33,6.72,10.96,9.66,3.61,1.54,4.17,9.7,1.08,6.99,4.89,,,
December,,,,4.26,8.83,10.05,4.21,1.3,7.63,9.16,4.72,4.26,7.04,5.52,6.45,5.15,1.15,3.12,6.52,9.09,4.54,2.97,3.44,1.96,9.3,4.58,4.69,4.19,4.66,3.52,4.23,4.23,6.82,2.87,5.33,8.01,6.39,5.14,,,
Total,,,,45.56,48.24,46.21,44.37,40.54,48.77,42.33,52.28,29.85,43.84,49.12,50.63,47.54,42.8,56.68,55.61,51.16,48.57,45.78,45.03,32.99,42.22,48.08,43.23,42.26,42.46,45.75,45.33,36.65,41.61,46.33,48.63,47.39,55.26,41.28,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location of The Cottage estimated from nearby houses in census – alt about right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
