"BELFAST, QUEEN'S UNIVERSITY",,,,,,,,,,,,
Grid ref,IJ3340072200,Long,-5.937307,Lat,54.580606,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.34,2.77,1.85,4.95,3.33,1.70,3.87,2.11,2.88,2.15,,
February,3.25,1.30,2.25,2.82,3.93,1.90,2.15,2.08,2.84,2.77,,
March,0.64,2.48,2.00,4.36,1.85,3.12,2.28,4.68,4.27,4.66,,
April,2.65,2.16,2.25,1.49,2.62,2.72,1.91,2.43,4.13,4.14,,
May,2.73,1.26,2.51,2.58,2.33,1.61,4.35,4.12,2.10,1.50,,
June,3.81,3.03,2.66,1.53,1.25,2.90,1.48,4.69,3.06,2.42,,
July,4.19,1.06,3.84,4.07,3.45,2.00,2.35,2.24,2.87,3.77,,
August,5.24,3.52,2.54,5.09,4.08,6.41,4.26,3.30,2.13,2.94,,
September,2.09,3.23,4.77,3.33,3.17,1.73,1.24,1.10,4.55,2.08,,
October,4.01,3.84,1.89,6.83,0.70,1.59,4.93,4.03,2.43,5.38,,
November,5.14,4.17,4.48,2.40,2.17,3.74,3.15,3.23,3.25,1.15,,
December,3.47,3.28,3.23,2.89,2.96,2.38,4.18,4.03,4.24,3.92,,
Total,40.56,32.10,34.27,42.34,31.84,31.80,36.15,38.04,38.75,36.88,,
Calc annual,40.56,32.10,34.27,42.34,31.84,31.80,36.15,38.04,38.75,36.88,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
