"TENBURY, ROCHFORD RECTORY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO620675,Long,-2.558722,Lat,52.304295,Elevation,317,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,4.49,0.66,2.34,0.42,4.53,3.04,1.74,0.99,2.35,2.4,0.5,3.45,1.37,0.7,0.97,2.42,0.85,3.81,4.01,1.12,2.94,1.07,1.51,2.97,,3.45,3.1,-999,1.81,3.65,2.42,3.65,3.32,4.8,1.23,6.06
February,,,,,,0.1,0.56,2.42,1.61,3.49,3.72,0.9,1.09,2.08,3.77,0.85,1.6,1,1.23,0.64,3.29,1.43,1.38,1.21,2.52,4.4,4.41,0.87,1.32,,1.06,0.39,-999,6.27,0.43,4.26,2.06,2.5,2.19,0.56,0.73
March,,,,,,1.78,3.39,3.66,0.46,0.89,0.78,2.18,1.25,4.32,1.19,3.71,0.86,0.73,3.26,2.1,0.63,1.48,4.41,5.41,2.28,0.48,2.93,2.16,1.55,,2.98,1.59,2.79,1.43,1.11,0.61,0.41,2.74,2.43,0.14,2.51
April,,,,,,2.54,1.54,1.99,2.41,2.28,1.36,1.84,2.07,1.42,1.35,2.13,0.88,1.74,2.47,1.97,2.07,1.65,0.05,4.49,0.94,0.98,0.75,1.63,2.44,,4.95,1.22,2.19,2.54,3.19,2.06,2.01,1.65,1.32,0.7,3.25
May,,,,,,0.72,0.4,1.07,3.54,2.38,2.03,0.65,2.38,3.26,2.68,0.41,1.84,2.46,2.36,0.91,1.53,3.97,2.7,2.41,1.18,3.01,2.82,3.9,1.44,,2.52,1.06,1.29,1.62,6.22,3.22,2.62,1.36,1.06,1.92,2.07
June,,,,,,1.05,1.57,2.57,0.95,2.71,2.39,2.46,2.38,2.68,0.84,2.68,2.85,2.66,3.25,2.55,3.1,2.28,4.28,0.99,1.94,1.08,1.41,3.34,0.88,,2.73,0.27,0.87,0.32,1.96,0.13,1.51,3.73,3.06,2.24,1.18
July,,,,,,1.93,1.26,1.53,1.08,1.09,3.1,1.57,1.43,2.56,2.61,1.33,0.33,3.64,2.16,3.1,1.93,0.69,3.54,0.75,3.9,4.91,2.27,2.88,3.26,,4.22,0.54,3.36,4.87,4.12,2.6,2.27,2.22,1.18,1.75,3.33
August,,,,,,2.85,3.19,4.25,1.73,1.78,4.33,2.15,4.24,3.82,1.62,4.4,1.54,2.47,3.69,1.46,4.08,2.57,7.42,1.89,1.8,3.29,1.79,5.34,2.37,,1.45,3.15,2.56,1.73,3.5,2.02,2.06,4.64,2.41,1.35,3.13
September,,,,,,0.74,5.03,2.67,0.6,2,0.74,1.51,1.33,2.85,2.1,0.92,0.82,0.35,2.05,3.17,0.62,1.74,0.8,2.06,0.9,1.08,1.06,1.71,6.38,,2.03,1.03,2.04,1.59,4.25,3.5,0.93,4.05,1.02,1.4,3.73
October,,,,,,2.07,3.1,1.68,3.93,3.15,3.7,1.29,2.51,5.72,0.63,1.52,4.97,7.83,1.75,3.42,2.86,1.79,2.68,4.81,1.75,3.67,4.23,2.72,1.25,,2.93,2.07,0.53,4.25,3.97,3.33,2.57,2.13,4.86,4.98,2.92
November,,,,,,5.43,0.85,1.71,2.08,1.82,2.45,0.87,2.81,1.56,1.17,2.64,2.59,2.51,1.34,0.78,3.95,2.54,1.63,3.16,3.58,2.73,2.22,0.99,1.92,,0.79,2.32,1.22,1.79,2.04,2.15,6.24,3.28,3,7.56,3.1
December,,,,,,2.38,4.64,3.44,3.17,2.34,4.68,4.31,1.44,2.02,1.8,0.54,1.82,2.79,2.5,4.28,6.31,6.42,3.29,1.04,7.11,5.19,2.09,0.73,2.42,,2.5,2.02,4.33,2.8,3.51,2.66,0.68,2.3,2.08,6.49,3.57
Total,,,,,,26.08,26.19,29.33,21.98,28.46,32.32,21.47,23.92,34.64,22.16,21.63,23.55,29.55,26.76,25.35,32.79,27.41,35.99,32.23,29.02,33.76,27.05,27.78,28.2,,31.61,18.76,28.44,31.02,37.95,28.96,27.01,33.92,29.41,30.32,35.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Jan/Feb bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TYRain_1931-1940_14_pt1-page-138.csv no data, observer had moved to Devon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
