NORTH SHIELDS WHITLEY VICARAGE ROOF,,,,,,,,,,
Grid ref,NZ352720,Long,-1.4507122,Lat,55.04127,Elevation,124,ft,,
Station no,RR4818,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,0.85,,,,,,,,,
February,0.44,,,,,,,,,
March,1.3,,,,,,,,,
April,0.65,,,,,,,,,
May,1,,,,,,,,,
June,2.15,,,,,,,,,
July,0.15,,,,,,,,,
August,1.4,,,,,,,,,
September,0.4,,,,,,,,,
October,1.99,,,,,,,,,
November,2.22,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
1870 December - gauge broken so not a full record therefore removed,,,,,,,,,,
