LEAMINGTON SPA (CAMPION TERR. P.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP324662,Long,-1.526371,Lat,52.292982,Elevation,218,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2454/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.6,0.63,2.74,2.94,2.51,5.28,,,,,,,,,,,,,,,,,,,3.19,4.31,4
February,,,,0.4,1.93,1.66,3.25,0.8,0.98,,,,,,,,,,,,,,,,,,,3.34,0.07,1.59
March,,,,1.4,0.52,1.71,2.39,0.21,1.41,,,,,,,,,,,,,,,,,,,1.28,1.99,0.95
April,,,,1.84,3.34,1.55,2.79,0.08,1.56,,,,,,,,,,,,,,,,,,,0.65,2.58,0.63
May,,,,0.77,1.4,0.53,2.86,1.45,0.82,,,,,,,,,,,,,,,,,,,1.83,0.51,1.89
June,,,,1.13,3.24,3.2,0.87,1.6,2.07,,,,,,,,,,,,,,,,,,,4.39,0.46,2.67
July,,,,4.13,0.53,4.82,2.43,2.03,5.15,,,,,,,,,,,,,,,,,,,3.1,0.87,3.62
August,,,,1.52,1.89,0.4,2.97,3.04,3.66,,,,,,,,,,,,,,,,,,,3.54,1.15,3.01
September,,,,1.7,3.25,2.72,2.2,2.08,0.92,,,,,,,,,,,,,,,,,,,3.59,0.04,3.44
October,,,,1.33,3.94,1.47,2.26,2.36,3.81,,,,,,,,,,,,,,,,,,,2.47,2.34,3.74
November,,,,1.67,4.3,1.74,1.47,2.36,3.96,,,,,,,,,,,,,,,,,,,2.03,1.99,3.21
December,,,,4.22,3.16,1.93,2.08,3.17,1.59,,,,,,,,,,,,,,,,,,,2.26,3.81,3.16
Total,,,,21.71,28.13,24.47,28.51,21.69,31.21,,,,,,,,,,,,,,,,,,,31.67,20.12,31.91
