STROUD-GREEN-MOUNT-VIEW-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ310881,Long,-0.11094249,Lat,51.576551,Elevation,212,ft.,,,,,,,,,,,,,
Station no,877,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.69,1.55,2.96,1.54,3.65,1.01,2.28,1.32,1.45,1.17,1.46,0.96,,,,,
February,,,,,0.52,2.96,3.12,3.13,1.57,0.57,1.07,1.71,0.2,1.19,0.12,2.21,,,,,
March,,,,,0.69,0.51,0.31,2.26,1.25,0.01,1.67,0.15,1.32,2.31,2.07,0.44,,,,,
April,,,,,3.05,1.51,3.21,1.96,1.16,1.27,1.68,3.55,2.05,0.81,2.07,3.18,,,,,
May,,,,,3.08,1.53,2.14,1.33,1.68,1.41,2.84,2.53,3.23,1.68,0.59,1.17,,,,,
June,,,,,2.67,0.11,3.21,2.1,2.61,1.23,1.25,1.25,0.56,1.54,0.98,3.19,,,,,
July,,,,,5.17,3.39,1.86,3.02,2.08,1.66,1.38,3.02,1.68,1.09,0.89,,,,,,
August,,,,,2.09,2.38,1.08,3.66,2.46,1.48,2.05,4.68,1.96,0.49,2.08,,,,,,
September,,,,,2.86,2.16,1.47,5.26,0.69,0.34,2.99,2.64,1.86,2.78,1.87,,,,,,
October,,,,,3.43,2.79,2.17,1.31,4.05,2.75,1.01,0.65,4.71,1.51,1.07,,,,,,
November,,,,,2.34,1.49,4.77,2.35,2.26,5.33,4.61,2.09,1.16,0.93,1.9,,,,,,
December,,,,,3.21,2.37,0.3,3.44,2.4,4.01,2.05,0.91,0.46,0.39,5.02,,,,,,
Total,,,,,31.8,22.75,26.6,31.36,25.86,21.07,24.88,24.5,20.64,15.89,20.12,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is East end of Mount View Road at the stated altitude. ,,,,,,,,,,,,,,,,,,,,,
NGR could be +/- 150m East West but also could be 600m to 800m W where the Road is also at the stated alititude,,,,,,,,,,,,,,,,,,,,,
There are no relationships to church or station given to check the location.,,,,,,,,,,,,,,,,,,,,,
"Mar 1929 ""trace"" entered as 0.01",,,,,,,,,,,,,,,,,,,,,
