ENFIELD-CLAY-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ314989,Long,-0.10112564,Lat,51.67351,Elevation,200,ft.,,,,,,,,,,,,
Station no,RR6227,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.91,1.93,1.55,3.78,2.62,0.75,3.84,1.83,1.34,2.92,4.13
February,,,,,,,,,,0.57,2.99,1.81,1.91,0.83,2.61,3.42,3.32,0.81,1.24,2.96
March,,,,,,,,,2.83,3.36,1.04,1.91,3.39,2.03,4.45,1.28,4.14,1.56,0.89,3.2
April,,,,,,,,,3.18,1.65,2.13,1.58,0.11,3.17,0.68,0.98,1.37,2.42,3.76,3.68
May,,,,,,,,,1.77,1.25,2.23,1.66,1.15,1.53,1.76,2.86,2,2.25,1.97,0.52
June,,,,,,,,,1.12,3.38,3.34,2.24,2.9,0.63,1.81,1.58,2.49,1.39,1.25,1.41
July,,,,,,,,,4.11,3.22,1.96,1.14,1.47,2.17,1.88,4.91,1.78,4.09,3.21,1.93
August,,,,,,,,,2.69,1.71,2.74,0.8,,1.18,1.16,2.29,5.55,4.76,1.38,2.55
September,,,,,,,,,1.68,2.45,0.66,1.48,2.66,1.1,1.18,1.95,1.43,1.9,5.92,
October,,,,,,,,,1.96,4.15,2.15,3.74,2.54,3.3,1.15,1.72,3.76,4.05,1.45,
November,,,,,,,,,0.91,1.05,3.36,3.7,2.31,2.71,3.37,2.39,4.52,1.78,2.54,
December,,,,,,,,,2.41,3.12,3.91,5.25,2.88,0.82,6.85,5.69,3.17,0.94,2.47,
Total,,,,,,,,,,26.82,28.44,26.86,,22.09,27.65,32.91,35.36,27.29,29,
,,,,,,,,,,,,,,,,,,,,
"NGR is asumed to be Clay Hill Lodge, which is about the right distance from the church and altitudes match.",,,,,,,,,,,,,,,,,,,,
