PORTHCAWL-THE-REST,,,,,,,,,,,,,,,,,,,,
Grid ref,SS804783,Long,-3.7240852,Lat,51.490958,Elevation,60,ft,,,,,,,,,,,,
Station no,RR7471,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.7,4.53,2.91,1.54,2.15,3.11,3.05,0.87,1.62,,
February,,,,,,,,,,2.17,0.62,0.09,2.07,4.64,3.08,0.13,1.32,4.77,,
March,,,,,,,,,,3.24,1.54,1.4,1.15,0.37,2.63,3.65,3.63,3.17,,
April,,,,,,,,,,2.14,1.66,2.15,1.62,0.09,2.6,1.94,0.56,3.34,,
May,,,,,,,,,,2.67,1.94,3.44,1.18,2.42,3.12,0.2,0.08,1.56,,
June,,,,,,,,,,0.3,3.57,2.02,1.74,0.73,2.45,1.44,1.4,2.04,,
July,,,,,,,,,,2.93,3.23,2.4,2.01,4.32,4.49,3.86,1.85,1.72,,
August,,,,,,,,,,3.22,2.92,5.95,4.4,2.67,3.94,3.31,1.69,5.73,,
September,,,,,,,,,,3.03,1.78,2.64,5.5,2.25,1.29,1.34,6.19,4.91,,
October,,,,,,,,,,3.22,2.37,6.24,3.09,5.32,6.32,4.17,3.78,1.42,,
November,,,,,,,,,,1.77,4.52,4.12,3.42,2.45,5.35,4.35,0.73,2.37,,
December,,,,,,,,,,2.65,1.1,5.65,1.92,4.49,3.62,3.63,5.02,4.88,,
Total,,,,,,,,,,29.04,29.78,39.01,29.64,31.9,42,31.07,27.12,37.53,,
