CRAWFORD (CAMPS RES.) RISINGCLAW Gauge N,,,,,,,,,
Grid ref,NT036199,Long,-3.526186,Lat,55.46341,Elevation,1610,ft,
Station no,5162/6,,,,,,,,
,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949
January,,,,,,6.35,,7.79,7.54
February,,,,,,3.04,,5.44,5.42
March,,,,,4.14,3.29,,5.68,2.15
April,,,,,2.44,1.56,8.87,3.84,5.85
May,,,,,6.43,1.63,4.08,2.04,
June,,,,,4.96,4.09,5.02,7.58,
July,,,,,4.67,5.47,4.43,4.14,
August,,,,,2.32,5.03,0.05,6.93,
September,,,,,9.3,9.14,5.7,6.77,
October,,,,,6.62,1.22,2.36,5.18,
November,,,,,0.58,9.88,8.39,4.92,
December,,,,,4.78,4.75,3.33,8.18,
Total,,,,,,55.45,,68.49,
,,,,,,,,,
1945 100s deleted,,,,,,,,,
1947 100s deleted,,,,,,,,,
,,,,,,,,,
Station no,5162/6,,,,,,,,
Midas,13529,,,,,,,,
Hyd Stn,650597,1,,,,,,,
