BLAIRHOYLE,,,,,,,,,,
Grid ref,NN 61278 01049,Long,-4.236493,Lat,56.181809,Elevation,100,ft,,
Station no,RR2967,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,6.8,5,3.91,7.35,4.95,,
February,,,,4.18,5,3.5,6.23,4.58,,
March,,,,2.35,4.3,0.92,2.91,2.64,,
April,,,,3.87,2.16,1.05,2.22,6.24,,
May,,,,3,2,3.26,1.1,3.14,,
June,,,,4.28,4.3,0.49,2.56,2.13,,
July,,,4.34,0.3,4.54,3.24,3.49,4.95,,
August,,,5.53,3.4,1.5,5.52,6.85,4.29,,
September,,,2.77,5.5,6.3,1.53,6.62,3.65,,
October,,,7.14,4,2.68,4.98,3.44,5.98,,
November,,,2.33,3.5,4.9,3.07,3.99,,,
December,,,6.64,4.72,4.54,4.68,7.91,,,
Total,,,,45.9,47.22,36.15,54.67,,,
