"PETROCKSTOW HEANTON SATCHVILLE",,,,,,,,,,,,
Grid ref,SS534113,Long,-4.085369,Lat,50.882542,,,,,,,
Station no,RR1121,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.33,3.73,2.36,5.54,4.50,1.70,6.46,2.53,2.99,2.50,,
February,4.97,1.44,1.19,2.85,5.98,2.02,5.07,2.01,2.97,0.70,,
March,1.54,2.44,2.57,5.28,2.01,5.09,2.39,1.39,3.60,5.47,,
April,1.66,3.73,0.99,2.08,1.82,2.57,1.34,4.71,2.82,2.71,,
May,1.83,0.88,2.78,2.73,2.90,0.18,2.88,2.92,2.12,1.42,,
June,3.81,2.94,3.19,1.90,1.66,2.47,1.75,3.55,1.71,2.71,,
July,1.19,0.85,2.04,3.92,3.43,1.27,1.13,2.51,2.78,2.53,,
August,2.67,1.76,2.95,4.08,3.25,5.44,3.19,2.73,3.86,1.82,,
September,1.48,2.72,2.62,4.36,2.60,1.38,0.91,0.94,2.54,2.29,,
October,4.44,3.44,3.04,9.62,2.45,3.35,4.91,6.82,1.60,7.68,,
November,5.33,1.26,4.82,3.24,4.01,4.89,4.14,3.35,1.73,2.21,,
December,6.44,6.30,4.12,4.58,3.12,1.65,4.20,5.88,4.55,5.71,,
Total,40.69,31.49,32.67,50.18,37.73,32.01,38.37,39.34,33.27,37.75,,
Calc annual,40.69,31.49,32.67,50.18,37.73,32.01,38.37,39.34,33.27,37.75,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
