HATHERLEIGH-HEANTON-SATCHVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS535115,Long,-4.0832,Lat,50.884,Elevation,332,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,2.86,6.7,3.73,1.81,2.05,5.34,3.54,2.88,2.75,3.51,3.84,1.36,2.81,1.16,7.51,5.33,3.73,2.36,5.54,4.5,1.7,6.46,2.53,2.99,2.5,5.84,1.48,3.77,6.01,1.87,4.57,,,,
February,,,,,,4.09,1.16,0.7,1.47,3.3,0.94,0.07,3.01,5.18,3.01,0.14,0.84,4.71,2.97,3.57,4.97,1.44,1.19,2.85,5.98,2.02,5.07,2.01,2.97,0.7,5.66,2.61,2.38,1.57,3.4,5.54,,,,
March,,,,,,1.26,3.36,1.36,4.38,3.02,1.53,1.69,0.99,0.57,3.28,3.7,4.44,4.37,1.61,1.17,1.54,2.44,2.57,5.28,2.01,5.09,2.39,1.39,3.6,5.47,0.62,2.12,6.21,5.23,6.37,0.81,,,,
April,,,,,1.72,2.58,3.61,1.5,1.57,1.75,4.02,1.99,1.95,0.72,2.28,2.07,0.95,5.21,1.66,4.19,1.66,3.73,0.99,2.08,1.82,2.57,1.34,4.71,2.82,2.71,2.31,2.77,0.21,5.55,2.04,1.43,,,,
May,,,,,1.38,3.14,3.27,2.08,1.28,2.52,3.4,3.41,1.49,2.18,3.12,0.44,0.08,1.63,3.9,2.93,1.83,0.88,2.78,2.73,2.9,0.18,2.88,2.92,2.12,1.42,3.1,1.26,2.09,2.42,1.24,2.5,,,,
June,,,,,1.59,2.75,1.27,0.19,3.55,0.42,2.67,2.43,2.2,0.69,1.78,1.23,1.3,2.3,3.25,1.75,3.81,2.94,3.19,1.9,1.66,2.47,1.75,3.55,1.71,2.71,2.82,4.05,6.39,1.82,1.91,1.22,,,,
July,,,,,2.56,0.97,2.22,1.15,4.49,3.91,3.31,4.16,2.09,5.47,3.97,3.8,0.98,1.91,0.23,1.04,1.19,0.85,2.04,3.92,3.43,1.27,1.13,2.51,2.78,2.53,2.85,0.45,2.42,0.56,4.05,3.65,,,,
August,,,,,2.48,1.77,2.43,1.38,3.93,3.87,3.68,7.61,3.56,2,3.78,3.87,1.7,5.37,3.93,1.97,2.67,1.76,2.95,4.08,3.25,5.44,3.19,2.73,3.86,1.82,5.07,2.18,7.84,1.57,2.99,2.96,,,,
September,,,,,2.14,7.88,3.85,4.72,1.83,1.69,1.91,3.89,4.1,2.69,2.16,1.12,7.35,5.6,1.25,3.79,1.48,2.72,2.62,4.36,2.6,1.38,0.91,0.94,2.54,2.29,0.22,2.63,1.23,1.3,2.26,1.44,,,,
October,,,,,2.97,7.73,7.25,4.29,2.75,4.76,4.01,5.46,6.78,4.22,5.44,6.47,4.96,1.14,7.5,4.14,4.44,3.44,3.04,9.62,2.45,3.35,4.91,6.82,1.6,7.68,6.31,4.37,5.81,4.31,3.85,4.39,,,,
November,,,,,2.9,4.17,4.46,3.96,6.44,2.47,5.21,3.14,2.64,2.96,7.52,6.75,1.41,2.6,3.12,3.49,5.33,1.26,4.82,3.24,4.01,4.89,4.14,3.35,1.73,2.21,7.18,6.07,3.32,4.33,3.83,2.81,,,,
December,,,,,6.3,2.08,7.44,3.65,3.5,2.84,2.69,5.57,3.3,4.77,3.81,5.74,6.43,6.15,5.03,4.09,6.44,6.3,4.12,4.58,3.12,1.65,4.2,5.88,4.55,5.71,4.96,7.77,6.87,3.82,6.96,9.24,,,,
Total,,,,,,41.28,47.02,28.71,37,32.6,38.71,42.96,34.99,34.2,43.66,39.17,31.8,43.8,35.61,39.64,40.69,31.49,32.67,50.18,37.73,32.01,38.37,39.34,33.27,37.75,46.94,37.76,48.54,38.49,40.77,40.56,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location within large grounds unknown. NGR is at corner of nursery with matching elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884 Jan-Mar estimated from Hatherleigh Broomford Manor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
