EAST-SHEEN-CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ193747,Long,-0.28423,Lat,51.458715,Elevation,88,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,161/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.95,2.4,4.14,2.3,2.64,2.18,4.93,1.67,1.5,1.56,1.5,3.46,0.87,0.87,3.26,1.91,1.18,1.04,2.36,3.93,1.46,2.03,2.36,1.77
February,,,,,,,3.37,0.36,0.92,1.53,1.96,0.7,1.54,0.72,1.41,2.3,1.17,1.32,0.9,3.44,5.31,0.81,1.23,2,1.33,0.39,2.87,2.37,0.07,1.68
March,,,,,,,2.61,0.23,1.05,3.33,3.57,1.85,0.32,0.07,0.95,1.39,4.74,0.54,0.96,0.69,2.97,3.13,0.54,2.27,1.04,0.92,1.01,1.1,1.65,1.65
April,,,,,,,2.03,0.07,2.13,1.64,1.53,0.93,0.78,1.54,1.1,2.14,1.77,1.05,1.51,2.18,2.35,1.34,2.54,0.37,0.35,1.07,0.25,1.15,1.84,0.55
May,,,,,,,2.1,1.28,1.41,1.3,1.6,2.9,1.82,0.87,2.12,3.64,1.32,2.09,1.98,1.8,2.15,2.51,1.58,1.97,4,0.24,1.28,2.35,0.53,1.81
June,,,,,,,1.96,,0.98,0.79,1.93,2.33,1.21,1.97,1.6,2.86,2.58,2.04,0.51,1.7,1.12,2.68,2.27,4.63,2.24,2.22,1.01,4.15,0.53,1.19
July,,,,,,,0.53,1,2.03,2.29,5.33,1.85,1.79,1.44,3.08,2.38,1.5,0.82,2.6,3.14,1.09,0.53,3.37,2.5,0.19,5.03,3.22,2.38,1.33,3.44
August,,,,,,,1.82,2.71,3.45,0.07,5.54,2.32,1.06,2.29,1.38,4.65,0.3,2.98,1.78,2.37,3.22,3.46,1.59,3.35,0.72,3.71,4.32,3.21,1.18,2.01
September,,,,,,,1.41,1.99,1.03,1.28,0.45,1.08,2.38,2.4,1.46,3.69,1.3,1.15,,2.62,2.47,3.08,2.4,2.14,1.72,2.18,2.65,4.46,0.09,3.66
October,,,,,,,2.34,2.34,4.91,2.42,0.8,3.4,2.5,2.69,2.2,1.36,0.17,2.2,5.38,0.41,0.9,2.95,3.11,2.39,2.43,1.93,1.97,2.46,1.9,4.82
November,,,,,,,1.36,2.97,4.79,6.93,2.54,2.1,1.41,3.47,0.35,3.33,1.16,1.6,2.27,4.86,5.65,3.13,1.14,3.82,0.93,0.46,2.42,1.92,2.31,3.51
December,,,,,,,4.02,,0.9,1.26,1.53,2.45,1.36,1.3,2.87,1.43,2.26,2.49,1.61,1.95,1.85,2.49,0.55,1.95,2.15,2.44,1.84,2.83,3.01,2.04
Total,,,,,,,26.5,,27.74,25.14,29.42,24.09,21.1,20.43,20.02,30.73,19.77,21.74,,26.03,32.34,28.02,21.5,28.43,19.46,24.52,24.3,30.41,16.8,28.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Nov 23 Inspection Exposure excellent to S W and E but somewhat open to N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 June Dec Total Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan estimated by observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Sept Figures recorded are those on Richmond Hill as charts for East Sheen have been lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Oct 27 Inspection Site over sheltered to N Rim 5in above ground ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge can leaks To be repaired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
