CATHERINGTON-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU696146,Long,-1.01033,Lat,50.92714,Elevation,428,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,697/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.81,2.45,2.76,0.98,6.22,7.73,5.04,6.2,3.3,3.52,4.5,6.95,2.7,2.25,3.2,3.5,6.85,1.2,1.2,4.33,2.57,1.24,2.33,3.86,6.2,3.55,5.45,3.62,4.74
February,,0.26,4.72,0.07,4.21,3.06,6.58,0.65,1.92,5.52,4.15,0.58,1.6,0.91,2.59,3.35,2.42,1.36,1.22,5.78,6.33,0.76,1.83,3.81,2.16,0.19,5.49,3.05,0.21,3.98
March,,1.6,4.26,3.35,0.89,3,3.92,0.61,1.4,4.18,4.23,3.15,0.78,0.19,0.97,1.2,7.47,0.9,1.86,2.36,5.75,3.5,0.53,3.95,1.33,0.67,2.53,1.66,2.92,2.41
April,3.64,3.42,1.32,2.86,4.5,2.41,3.63,0.03,2.64,1.1,1.83,1.8,1.15,,1.25,2.21,2.48,1.82,2.05,2.98,3.05,2.06,1.78,0.29,0.54,1.95,0.2,0.6,3.16,1.3
May,2.71,3.76,1.64,1.55,1.16,0.22,2.52,2.17,1.43,0.53,2.9,3.35,3.9,1.1,2.9,4.5,1.25,2.78,2.87,1.35,2.87,2.25,3.17,,5.02,0.3,1.35,3.3,0.49,1.24
June,2.44,1.77,2.4,1.85,3.6,2.84,1.03,0.72,2.08,0.13,,,2.35,2.36,2.6,4.25,2.39,2.9,0.71,2,2.65,1.38,2.62,,3.16,2.84,2.1,3.52,0.89,3.22
July,3.71,5.41,2.36,0.94,1.25,5.11,1.68,2.4,4,2.92,4.03,1.76,2.95,3.1,3.52,1.91,1.4,1.42,0.2,4.85,2.95,0.31,5.23,3.8,0.69,3.3,4.77,2.31,3.63,5.8
August,4.3,0.96,1.28,3.28,3.29,1.25,1.72,1.62,2.35,0,,4.15,2.05,1.9,2.28,6.4,0.39,7.16,1.48,2.25,6.86,3.65,2.22,3.52,1.82,4.24,3.25,4.96,4.96,4.64
September,2.22,3.8,2.6,3.1,4.65,3.15,2.15,1.98,0.88,1.96,0.3,2.6,2.03,2.3,2.27,5.53,1.58,3.7,2.98,4.4,3.43,4.05,2.9,3.79,2.83,4.24,3.41,5.02,0.18,6.03
October,0.64,7.46,2.46,2.15,6.04,1.37,3.95,4.7,5.65,4.81,1.98,4.05,3.9,4.98,4.98,1.3,1.5,2.3,9.16,0.68,1.45,5.07,3.64,3.87,4.91,1.88,2.67,3.21,3.09,9.32
November,4.88,1.95,0.7,4.27,8.82,5.17,2.49,5.2,7.69,9.32,3.54,1.78,2.4,5.9,0.75,6.03,1.76,1.86,4.2,7.3,9.76,4.9,1.93,6.68,3.15,0.73,3.06,3.16,4.78,7.04
December,0.8,1.47,0.78,11.92,4.56,3.23,4.75,3.77,2.5,2.78,2.42,4.73,2.75,3.1,5,3.75,3.42,5.17,2.77,2.28,3.43,3.16,0.89,3.88,5.19,6.26,3.32,3.95,9.09,4.88
Total,,35.67,26.97,38.1,43.95,37.03,42.15,28.89,38.74,36.55,,,32.81,,31.36,43.63,29.56,38.22,30.7,37.43,52.86,33.66,27.98,,34.66,32.8,35.7,40.19,37.02,54.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 April 1 New gauge installed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adopted from Swanmore House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 June Aug Estimated from maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 June Estimated from nearby stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Apr Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Dec Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan Part estimated Suggests snow during Dec Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 May June Estimated Interference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Feb Inspection Reasonable site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 7520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
